artworkTitle,artistName,nationality,birthDate,deathDate,dateOfEndOfCreation,medium,dimensions,classification,creditLine,accessionNumber
Tree in Shadows,Gwen Thomas,American,1945,0,1980,Oil on photograph and wood,"H. 24-1/4, W.18-3/4 inches (61.5 x 47.5 cm.)",Paintings,"Purchase, Mrs. Muriel Palitz Gift, 1980",1980.346.2
"Nocturne, Temple d'Amour",Edward J. Steichen,MetDoesntKnow,1879,1973,1910,Oil on canvas,"H. 25-1/8, W. 24-1/4 inches (63.8 x 61.6 cm.)",Paintings,"Gift of Watson B. Dickerman, 1911",13.17
Afternoon at Coney Island,William James Glackens,American,1870,1938,1909,"Chalk, watercolor, and gouache on paper",14 1/2 x 18 5/8 in. (36.8 x 47.3 cm),Drawings,"Gift of A. E. Gallatin, 1915",15.152.1
Family Dressing,Jules Pascin,MetDoesntKnow,1885,1930,1905,"Ink, watercolor and gouache on paper","H. 7-1/2, W. 8-1/4 inches (19.1 x 21 cm.)",Drawings,"Bequest of Scofield Thayer, 1982",1984.433.265
Portrait of a Gentleman,Nathaniel Rogers,American,1788,1844,0,Watercolor on ivory in brown leatherette locket,2 7/8 x 2 1/4 in. (7.3 x 5.7 cm),Paintings,"Fletcher Fund, 2006",2006.235.161
Vista at the Edge of the Sea,Leon Kelly,American,1901,1982,1940,Oil on canvas,"H. 51, W. 80 inches (129.5 x 203.2 cm.)",Paintings,"Arthur Hoppock Hearn Fund, 1981",1981.190
Television Robot,Robin Winters,American,1950,0,1980,Gouache and ink on paper,"H. 62, W. 40-1/2 inches (157.5 x 102.9 cm.)",Drawings,"Purchase. Louis and Bessie Adler Foundation, Inc. Gift (Seymour M. Klein, President), 1988",1988.258.1
"Study for Mural at Boys and Girls High School, Bedford-Stuyvesant, Brooklyn",Vincent D. Smith,American,1929,2003,1972,Acrylic on cardboard,"4 panels, each 9 x 4 1/2 in. (22.9 x 11.4 cm)",Paintings,"Purchase, Ruth and Seymour Klein Foundation, Inc. Gift, 2002",2002.219a杁
"Boboli Garden, Florence",John Singer Sargent,American,1856,1925,0,"Watercolor, gouache, and graphite on white wove paper, mounted on board",11 1/2 x 18 1/8 in. (29.2 x 46 cm),Drawings,"Gift of Mrs. Francis Ormond, 1950",50.130.74
The New Bonnet,Francis William Edmonds,American,1806,1863,1858,Oil on canvas,25 x 30 1/8 in. (63.5 x 76.5 cm),Paintings,"Purchase, Erving Wolf Foundation Gift and Gift of Hanson K. Corning, by exchange, 1975",1975.27.1
Design for church dome,Louis Comfort Tiffany,American,1848,1933,0,"Watercolor, gouache, brown and black ink, and graphite on board",36 1/4 x 27 1/2 in. (92.1 x 69.9 cm),Drawings,"Purchase, Walter Hoving and Julia T. Weld Gifts and Dodge Fund, 1967",67.654.59
Pierre Mac Orlan,Jules Pascin,MetDoesntKnow,1885,1930,1924,Oil on canvas,"H. 36-1/4, W. 28-3/4 inches (92.1 x 73 cm.)",Paintings,"The Mr. and Mrs. Klaus G. Perls Collection, 1997",1997.149.8
George Catlin,John Wood Dodge,MetDoesntKnow,1807,1893,1835,Watercolor on ivory,2 3/16 x 1 13/16 in. (5.6 x 4.6 cm),Paintings,"Rogers Fund, 1926",26.47
Figure,Earl Kerkam,American,1891,1965,1950,Oil and enamel on cardboard,39 5/8 x 29 1/2 in. (100.6 x 74.9 cm),Paintings,"The Muriel Kallis Steinberg Newman Collection, Gift of Muriel Kallis Newman, 2006",2006.32.27
Hummingbird and Apple Blossoms,Martin Johnson Heade,MetDoesntKnow,1819,1904,1875,Oil on canvas,12 3/16 x 14 1/8 in. (31 x 35.9 cm),Paintings,"Gift of Mrs. J. Augustus Barnard, 1979",1979.490.11
Red-Blue,Ellsworth Kelly,American,1923,0,1960,Oil on canvas,"H. 32, W. 24 inches (81.3 x 61 cm.)",Paintings,"Gift of Stanley Posthorn, 1972",1972.167
"Patio de los Leones, Alhambra",John Singer Sargent,American,1856,1925,1879,"Watercolor, gouache, and graphite on off-white wove paper",9 3/4 x 13 1/2 in. (24.8 x 34.3 cm),Drawings,"Gift of Mrs. Francis Ormond, 1950",50.130.36
Portrait of a Woman,Charles Willson Peale,American,1741,1827,1775,Oil on canvas,9 3/4 x 7 7/8 in. (24.8 x 20 cm),Paintings,"Fletcher Fund, 1926",26.129.2
Shooting Stars,Irene Rice Pereira,American,1907,1971,1952,"Glass, casein, and tempera on Masonite","H. 24-1/2, W. 40 inches (62.3 x 101.6 cm.)",Paintings,"The Edward Joseph Gallagher III Memorial Collection, Gift of Edward J. Gallagher, Jr., 1955",55.13.2
Joseph Anthony Jr.,Gilbert Stuart,American,1755,1828,1798,Oil on canvas,30 x 24 1/2 in. (76.2 x 62.2 cm),Paintings,"Rogers Fund, 1905",05.40.1
"Eagle's Nest, Franconia Notch",William Trost Richards,American,1833,1905,1873,"Watercolor, gouache, and graphite on light tan wove paper.",12 7/8 x 9 7/16 in. (32.7 x 24 cm),Drawings,"Bequest of Susan Dwight Bliss, 1966",67.55.140
"Beyond Mountains, Number 1",Theodoros Stamos,American,1922,1997,1950,Oil on canvas,"H. 86-1/4, W. 41 inches (168.3 x 104.2 cm.)",Paintings,"Gift of Miss Katherine Ordway, 1956",56.193
Edward Kellogg,Samuel Lovett Waldo,MetDoesntKnow,1783,1861,1832,Oil on wood,33 3/8 x 25 3/8 in. (84.8 x 64.5 cm),Paintings,"Gift of Mrs. Mary E. Kellogg Putnam, 1899",99.29.1
Delphinium,Kevin Larmon,American,1955,0,1988,"Oil, graphite, charcoal and pebbles on canvas",15 1/8 x 15 1/4 in. (38.4 x 38.7 cm) (Frame),Paintings,"Gift of Lisa Roumell and Mark Rosenthal, 2002",2002.528.1
"Landscape, New Mexico",Marsden Hartley,American,1877,1943,1920,Oil on canvas,27 1/8 x 34 7/8 in. (68.9 x 88.6 cm),Paintings,"Alfred Stieglitz Collection, 1949",49.70.46
The Unknown Masterpiece,Anselm Kiefer,German,1945,0,1982,"Watercolor, gouache, graphite, cut and pasted printed papers on paper","H. 25-1/8, W. 19-1/2 inches (63.8 x 49.5 cm.)",Drawings,"Gift of Cynthia Hazen Polsky, in memory of her father, Joseph H. Hazen, 2000",2000.96.8
The Strange Thing Little Kiosai Saw in the River,John La Farge,American,1835,1910,1897,Watercolor and gouache on Japanese tissue laid down on white wove paper,12 7/16 x 18 3/16 in. (31.6 x 46.2 cm),Drawings,"Rogers Fund, 1917",17.180.2
Delta Group II,Jack Whitten,American,1939,0,1975,Acrylic on canvas,"H. 51, W. 88 inches (129.5 x 223.5 cm.)",Paintings,"Purchase, Joseph H. Hazen Foundation, Inc. Gift, 1975",1975.155
"White Walls in Sunlight, Morocco",John Singer Sargent,American,1856,1925,1880,Oil on wood,10 1/4 x 13 3/4 in. (26 x 34.9 cm),Paintings,"Gift of Mrs. Francis Ormond, 1950",50.130.4
White Lines,Irene Rice Pereira,American,1907,1971,1941,Gouache on paper,"H. 22-1/4, W. 15-1/2 inches (57.2 x 39.4 cm.)",Drawings,"Gift of New York City W. P. A., 1943",43.47.26
Alison Series: One November Day,Esteban Vicente,MetDoesntKnow,1903,2001,1976,Oil on canvas,"H. 72, W. 56 inches (182.9 x 142.2 cm.)",Paintings,"Gift of Dr. and Mrs. Robert E. Carroll, 1977",1977.268
John Payne Todd,Attributed to Joseph Wood,MetDoesntKnow,1778,1830,1817,Watercolor on ivory,2 5/8 x 2 1/16 in. (6.7 x 5.26 cm),Paintings,"Gift of Miss Mary Madison McGuire, 1936",36.73
Fighting a Fire,William P. Chappel,American,1800,1880,1870,Oil on slate paper,6 x 9 1/8 in. (15.2 x 23.2 cm),Paintings,"The Edward W. C. Arnold Collection of New York Prints, Maps, and Pictures, Bequest of Edward W. C. Arnold, 1954",54.90.495
Homeless,William Gropper,American,1897,1977,1938,Oil on canvas,"H. 20, W. 28 inches (50.8 x 71.1 cm.)",Paintings,"Arthur Hoppock Hearn Fund, 1939",39.49
Foot Landscape,Joe Brainard,American,1942,1994,1975,Gouache on paper,"H. 6, W. 4 inches (15.2 x 10.2 cm.)",Drawings,"Gift of Stanley Posthorn, in memory of the artist, 1997",1997.404.14
Self-Portrait,Lee Krasner,American,1908,1984,1930,Oil and graphite on paper,"H. 6-1/2, W. 5-1/4 inches (16.5 x 13.3 cm.)",Drawings,"Gift of the Pollock-Krasner Foundation, 1997",1997.403.2
The Virgin of Guadalupe,Marsden Hartley,American,1877,1943,1918,Oil and charcoal on paperboard,31 7/8 x 23 7/8 in. (81 x 60.6 cm),Paintings,"Alfred Stieglitz Collection, 1949",49.70.44
Mrs. Mayer and Daughter,Ammi Phillips,MetDoesntKnow,1788,1865,1840,Oil on canvas,37 7/8 x 34 1/4 in. (96.2 x 87 cm),Paintings,"Gift of Edgar William and Bernice Chrysler Garbisch, 1962",62.256.2
High Point: Shandaken Mountains,Asher Brown Durand,American,1796,1886,1853,Oil on canvas,32 3/4 x 48 in. (83.2 x 121.9 cm),Paintings,"Bequest of Sarah Ann Ludlum, 1877",77.3.1
Interior,Reginald Pollack,American,1924,2001,1958,Oil on canvas,"H. 28-3/4, W. 36-3/4 inches (73 x 93.3 cm.)",Paintings,"Anonymous Gift, 1993",1993.432
Hudson at Newburgh,Gifford Beal,American,1879,1956,1915,Oil on cardboard,12 1/8 x 20 in. (30.8 x 50.8 cm),Paintings,"Gift of Estate of Gifford Beal, 1995",1995.543
Rochelle at the Window,Robert Philipp,American,1895,1981,1954,Oil on canvas,"H. 13-1/8, W. 13 inches (33.4 x 33 cm.)",Paintings,"Arthur Hoppock Hearn Fund, 1954",54.110
Mrs. Winfield Scott,Asher Brown Durand,American,1796,1886,1831,Oil on canvas,34 x 27 in. (96.4 x 68.6 cm),Paintings,"Gift of Mrs. John C. Newington, 1965",65.69
Maquette for 'Orpheus and Eurydice',Timothy Woodman,American,1952,0,1983,Gouache on cut and pasted papers,"Sculpture: H. 7-7/8, W. 4-1/4, D. 1-3/4 inches (20 x 10.8 x 4.4 cm.) Sculpture mounted on board: H. 8-3/4, W. 5-1/4, D. 2-1/4 inches (22.2 x 13.3 x 5.7 cm.)",Sculpture,"Gift of the artist, 1996",1996.443
"Nevada Falls, Yosemite",Albert Bierstadt,American,1830,1902,1872,Oil on canvas,39 x 30 in. (76.2 x 99.1 cm),Paintings,"Gift of Mrs. J. Augustus Barnard, 1979",1979.490.3
Horse,Ian Phillips,American,1968,0,1992,Oil on canvas,"H. 74-1/4, W. 62-5/8 inches (188.6 x 159.1 cm)",Paintings,"Gift of Susan Kasen Summer and Robert D. Summer, 1998",1998.452.1
The Winding Path,Maurice Sterne,American,1878,1957,1924,Oil on canvas,"H. 45-3/8, W. 32-1/2 inches (115.3 x 82.6 cm.)",Paintings,"Bequest of Sam A. Lewisohn, 1951",51.112.7
Pasipha?,Jackson Pollock,American,1912,1956,1943,Oil on canvas,56 1/8 x 96in. (142.6 x 243.8cm),Paintings,"Purchase, Rogers, Fletcher, and Harris Brisbane Dick Funds and Joseph Pulitzer Bequest, 1982",1982.20
"Design for window for Sarah Cochran, Linden Hall, Dawson, Pennsylvania",Agnes F. Northrop,MetDoesntKnow,1857,1953,1913,"Watercolor, gouache, and graphite on wove paper mounted on original grey matt board",Overall: 13 1/4 x 7 7/8in. (33.7 x 20cm) Other (Design): 10 x 2 1/4 in. (25.4 x 5.7 cm) Other (mat/mount size): 19 1/4 x 14 1/4 in. (48.9 x 36.2 cm),Drawings,"Purchase, Walter Hoving and Julia T. Weld Gifts and Dodge Fund, 1967",67.654.229
Three Wolves,Nancy Giesmann,American,1946,0,1980,Gouache and enamel on paper,"H. 22-1/4, W. 30 inches (56.5 x 76.2 cm.)",Drawings,"Purchase, Joseph H. Hazen Foundation, Inc. and Charles Z. Offin Art Fund Inc. Gifts, 1981",1981.283.2
View of New York from Hoboken,Nicolino Calyo,MetDoesntKnow,1799,1884,0,"Watercolor, gouache on off-white wove paper",13 7/16 x 20 1/2 in. (34.1 x 52.1 cm),Drawings,"Gift of Marne L-S Hornblower, Dr. John J. Weber, Virginia L-S Cowles, and Diane L-S Hewat, 1985",1985.352.2
[Red Church],Walker Evans,American,1903,1975,1960,Tempera on panel,21.3 x 37.8 cm (8 3/8 x 14 7/8 in. ),Paintings,"Walker Evans Archive, 1994",1994.261.174
Mrs. Michael Taney (Monica Brooke),Charles Willson Peale,American,1741,1827,1770,Watercolor on ivory in gold locket,1 13/16 x 1 7/32 in. (4.6 x 3.1 cm),Paintings,"Harris Brisbane Dick Fund, 1938",38.165.32
Self-portrait miniature,John Singleton Copley,American,1738,1815,1769,Watercolor on ivory in gold locket,1 5/16 x 1 1/16 in. (3.3 x 2.7 cm),Paintings,"Purchase, Harris Brisbane Dick Fund, by exchange, Anonymous Gift, and Virginia Marvin Stoughton Bequest, 2006",2006.235.32
"The Relation of the Individual to the State: Socrates and His Friends Discuss 'The Republic,' as in Plato's Account; Color Study for Mural, Supreme Court Room, Saint Paul, Minnesota State Capitol, Saint Paul",John La Farge,American,1835,1910,1903,"Gouache, watercolor, and graphite on light tan wove paper",9 5/8 x 10 7/8 in. (24.4 x 27.6 cm),Drawings,"Bequest of Susan Dwight Bliss, 1966",67.55.167
Arched Doorway,John Singer Sargent,American,1856,1925,1908,Watercolor and gouache on white wove paper,13 15/16 x 9 15/16 in. (35.4 x 25.2 cm),Drawings,"Gift of Mrs. Francis Ormond, 1950",50.130.39
Land and Water (No. 2),John Singer Sargent,American,1856,1925,0,Watercolor and gouache on white wove paper,10 x 7 in. (25.4 x 17.8 cm),Drawings,"Gift of Mrs. Francis Ormond, 1950",50.130.80b
"Surf, Isles of Shoals",Childe Hassam,American,1859,1935,1913,Oil on canvas,28 1/4 x 35 1/4 in. (89.5 x 71.8 cm),Paintings,"Gift of Dr. and Mrs. Sheldon C. Sommers, 1996",1996.382
Tables for Ladies,Edward Hopper,American,1882,1967,1930,Oil on canvas,"H. 48-1/4, W. 60-1/4 inches (122.6 x 153 cm.)",Paintings,"George A. Hearn Fund, 1931",31.62
Bird by the Sea,Clayton S. Price,American,1874,1950,1949,Oil on canvas,36 1/4 x 42 in. (92.1 x 106.7 cm),Paintings,"George A. Hearn Fund, 1949",49.160.2
"Presence, Ramapo Horizon",Richard Pousette-Dart,American,1916,1992,1975,Acrylic on canvas,72 x 120in. (182.9 x 304.8cm) 73 x 121 x 2 in. (185.4 x 307.3 x 5.1 cm) (Frame),Paintings,"George A. Hearn Fund, 1982",1982.68
An Arctic Summer: Boring Through the Pack in Melville Bay,William Bradford,American,1823,1892,1871,Oil on canvas,51 3/4 x 78 in. (131.4 x 198.1 cm); framed: 60 x 86 1/2 x 4 in.,Paintings,"Gift of Erving and Joyce Wolf, in memory of Diane R. Wolf, 1982",1982.443.1
[Portrait of Walker Evans],Ben Shahn,MetDoesntKnow,1898,1969,1931,Gouache on paper,71.1 x 48.3 cm (28 x 19 in. ),Paintings,"Walker Evans Archive, 1994",1994.263.107
Lago Avernus,William Trost Richards,American,1833,1905,1870,"Watercolor, gouache, and graphite on blue wove paper",4 1/2 x 9 1/2 in. (11.4 x 24.1 cm),Drawings,"Morris K. Jesup Fund, 2001",2001.39
Red Roses Sonata,Alma Thomas,American,1895,1978,1972,Acrylic on canvas,"H. 60, W. 54 inches (152.4 x 137.2 cm.)",Paintings,"Gift of Longview Foundation, Inc., in memory of Audrey Stern Hess, 1976",1976.94
Gray Instrumentation II Prospectus,Josef Albers,MetDoesntKnow,1888,1976,1975,Hand printed screen miniature,image: 5 x 5 in. (12.7 x 12.7 cm) sheet: 8 1/16 x 8 1/16 in. (20.4 x 20.4 cm),Prints,"Gift of Tyler Graphics, Ltd., 1975",1975.659
Reynold Keen,Matthew Pratt,MetDoesntKnow,1734,1805,1769,Oil on Canvas,Sight: 30 x 25 in. (76.2 x 63.5 cm),Paintings,"Purchase, Morris K. Jesup Fund, 2008",2008.244
A Mother's Pearls,Thomas Seir Cummings,MetDoesntKnow,1804,1894,1841,"Watercolor on ivory in eight vermeil lockets with rope-turned bezels, connected by gold-plated brass chains; gold-plated brass floriated repousse clasp",17 1/2 in. (44.5 cm) 28.148.1: 1 3/16 x 1 in. (3 x 2.6 cm) 28.148.2: 1 3/8 x 1 3/16 in. (3.5 x 3 cm) 28.148.3: 1 9/16 x 1 3/8 in. (4 x 3.5 cm) 28.148.4: 1 3/4 x 1 9/16 in. (4.5 x 4 cm) 28.148.5: 1 x 7/8 in. (2.5 x 2.2 cm) 28.148.6: 1 3/4 x 1 9/16 in. (4.5 x 4 cm) 28.148.7: 1 9/16 x 1 3/8 in. (4 x 3.5 cm) 28.148.8: 1 3/8 x 1 3/16 in. (3.5 x 3 cm) 28.148.9: 1 3/16 x 1 1/8 in. (3 x 2.8 cm),Paintings,"Gift of Mrs. Richard B. Hartshorne and Miss Fanny S. Cummings, 1928",28.148.1
Green Sphere Balancing Others,Lucia Autorino Salemme,American,1919,2010,1941,"Watercolor, gouache, ink, and graphite on paper",15 1/4 x 22 1/4 in. (38.7 x 56.5 cm),Drawings,"Gift of Lawrence Salemme, 1996",1996.221
Self-Portrait,Theodore Robinson,MetDoesntKnow,1852,1896,1887,Oil on canvas,13 1/4 x 10 1/4 in. (33.7 x 26 cm),Paintings,"Gift of Margaret and Raymond J. Horowitz, 2007",2007.281.4
Treetops against Sky,John Singer Sargent,American,1856,1925,1913,Watercolor and gouache on white wove paper,10 x 14 in. (25.4 x 35.6 cm),Drawings,"Gift of Mrs. Francis Ormond, 1950",50.130.31
Mother and Child,William Zorach,MetDoesntKnow,1889,1966,1922,Oil on canvas,40 x 28in. (101.6 x 71.1cm),Paintings,"Anonymous Gift, 1979",1979.221
Path of the Hero,Richard Pousette-Dart,American,1916,1992,1950,Acrylic on canvas,"H. 61-3/4, W. 121 inches (156.8 x 307.3 cm.)",Paintings,"Purchase, Mr. and Mrs. Milton Petrie Gift, 1987",1987.3
Dutch Girl in White,Robert Henri,American,1865,1929,1907,Oil on canvas,24 x 20 in. (61 x 50.8 cm),Paintings,"Arthur Hoppock Hearn Fund, 1950",50.47
Julie Hudson,George Bellows,American,1882,1925,1914,Oil on Masonite,30 x 25 in. (76.2 x 63.5 cm),Paintings,"Bequest of Miss Adelaide Milton de Groot (1876-1967), 1967",67.187.120
Interior of Studio,John Koch,American,1909,1978,1956,Oil on canvas,24 x 20 1/8 in. (61 x 51.1 cm),Paintings,"Gift of Ernest Ulmer, 2007",2007.528
The Shell House,Walker Evans,American,1903,1975,1960,Tempera on panel,40.0 x 50.2 cm (15 3/4 x 19 3/4 in. ),Paintings,"Walker Evans Archive, 1994",1994.261.176
St. Martin de Porres,Hunt Slonem,American,1951,0,1983,Oil and wax on canvas,"H. 72, W. 44 inches (182.9 x 111.8 cm.)",Paintings,"Kathryn E. Hurd Fund, 1984",1984.44
Green Depth,Irene Rice Pereira,American,1907,1971,1944,Casein on canvas,"H. 31, W. 42 inches (78.7 x 106.7 cm.)",Paintings,"George A. Hearn Fund, 1944",44.160.4
Tadasana,John Gibson,American,1958,0,2000,Oil on honeycomb plywood panel,52 x 48 5/8 in. (132.1 x 123.5 cm),Paintings,"Purchase, Richard and Rebecca Evans Foundation Gift, 2001",2001.206
Two Figures,Edwin Dickinson,American,1891,1978,1924,"Oil on canvas, mounted on cardboard","H. 36, W. 30 inches (91.4 x 76.2 cm.)",Paintings,"Hugo Kastor Fund, 1959",59.162
"Mt. Katahdin, Maine, No. 2",Marsden Hartley,American,1877,1943,1940,Oil on canvas,30 1/4 x 40 1/4 in. (76.8 x 102.2 cm),Paintings,"Edith and Milton Lowenthal Collection, Bequest of Edith Abrahamson Lowenthal, 1991",1992.24.3
River Scene,Asher Brown Durand,American,1796,1886,1854,Oil on canvas,24 x 34 1/8 in. (61 x 86.7 cm),Paintings,"Bequest of Mary Starr Van Winkle, 1970",1970.58
At the Seaside,William Merritt Chase,American,1849,1916,1892,Oil on canvas,20 x 34 in. (50.8 x 86.4 cm),Paintings,"Bequest of Miss Adelaide Milton de Groot (1876?967), 1967",67.187.123
Berlin Street,George Grosz,MetDoesntKnow,1893,1959,1931,Oil on canvas,"H. 32, W. 23-5/8 inches (81.3 x 60 cm.)",Paintings,"Hugo Kastor Fund, 1963",63.220
Half Hot,Gene Davis,American,1920,1985,1959,Magna on unprimed canvas,"H. 93, W. 82 inches (236.2 x 208.3 cm.)",Paintings,"Gift of the artist, 1973",1973.77
"Searchlight on Harbor Entrance, Santiago de Cuba",Winslow Homer,American,1836,1910,1901,Oil on canvas,30 1/2 x 50 1/2 in. (77.5 x 128.3 cm),Paintings,"Gift of George A. Hearn, 1906",06.1282
Mother and Child (The Oval Mirror),Mary Cassatt,American,1844,1926,1899,Oil on canvas,32 1/8 x 25 7/8 in. (81.6 x 65.7 cm),Paintings,"H.O. Havemeyer Collection, Bequest of Mrs. H.O. Havemeyer, 1929",29.100.47
Maine Landscape,Fairfield Porter,American,1907,1975,1955,Oil on canvas,"H. 25-1/2, W. 36-1/2 inches (64.8 x 92.7 cm.)",Paintings,"Bequest of Arthur M. Bullowa, 1993",1993.406.4
Harvest Scene,Winslow Homer,American,1836,1910,1873,Oil on canvas,10 x 24 in. (25.4 x 61 cm),Paintings,"George A. Hearn Fund, 1909",09.26.6
The Greek Lovers,Henry Peters Gray,American,1819,1877,1846,Oil on canvas,40 1/4 x 51 1/2 in. (102.2 x 130.8 cm),Paintings,"Gift of William Church Osborn, 1902",02.7.2
"American Falls, Niagara",Jasper Francis Cropsey,American,1823,1900,1855,Graphite and white gouache on dark buff-colored wove paper,9 13/16 x 8 15/16 in. (24.9 x 22.7 cm),Drawings,"Sheila and Richard J. Schwartz Fund, 1987",1987.196.2
Miss Bruce,Alfred Thomas Agate,MetDoesntKnow,1812,1846,1837,Watercolor on ivory in maroon leatherette case with ormolu mat,2 5/8 x 2 in (6.7 x 5 cm),Paintings,"Gift of Gloria Manney, 2006",2006.235.1
Mrs. Andrew Sigourney,Gilbert Stuart,American,1755,1828,1820,Oil on canvas,27 x 22 in. (68.6 x 55.9 cm),Paintings,"Gift of Donald F. Bush, in memory of Harriet P. Bush, 1978",1978.380
Mannikin in the Snow,John Singer Sargent,American,1856,1925,1893,Oil on canvas,25 x 30 in. (63.5 x 76.2 cm),Paintings,"Gift of Mrs. Francis Ormond, 1950",50.130.12
Portrait of a Gentleman,James Peale,American,1749,1831,1795,Watercolor on ivory in gilded copper locket; hair reserve verso,2 1/4 x 1 3/4 in. (5.8 x 4.6 cm),Paintings,"Purchase, Lila Acheson Wallace Gift, 2006",2006.235.138
Study for 'The Coming of the Americans',John Singer Sargent,American,1856,1925,1922,"Watercolor, gouache, and graphite on off-white laid paper",22 1/4 x 9 in. (56.5 x 22.9 cm),Drawings,"Gift of Mrs. Francis Ormond, 1950",50.130.79
"Seashore, Morning",William Hart,MetDoesntKnow,1823,1894,1866,Oil on canvas,23 x 41 in. (58.4 x 104.1 cm),Paintings,"Gift of the sons of William Paton, 1909",09.214.2
Gloucester Dock,Alfred Levitt,American,1894,2000,1948,"Watercolor, gouache and graphite on paper","H. 11, W. 15 inches (27.9 x 38.1 cm.)",Drawings,"Gift of the artist, 1985",1985.234.6
George William Fairfax,Joseph Wood,MetDoesntKnow,1778,1830,1816,Watercolor on ivory,Sight: 2 9/16 x 2 in. (6.5 x 5.1 cm),Paintings,"Rogers Fund, 1945",45.155
The Lost Mind,Elihu Vedder,American,1836,1923,1865,Oil on canvas,39 1/8 x 23 1/4 in. (99.4 x 59.1 cm),Paintings,"Bequest of Helen L. Bullard, in memory of Laura Curtis Bullard, 1921",21.132.1
White Canadian Barn II,Georgia O'Keeffe,American,1887,1986,1932,Oil on canvas,12 x 30 in. (30.5 x 76.2 cm),Paintings,"Alfred Stieglitz Collection, 1964",64.310
Across the Room,Edmund Charles Tarbell,MetDoesntKnow,1862,1938,1899,Oil on canvas,25 x 30 1/8 in. (63.5 x 76.5 cm),Paintings,"Bequest of Miss Adelaide Milton de Groot (1876?967), 1967",67.187.141
Mrs. Joseph Cooper (Mary Justice),James Peale,American,1749,1831,1797,Watercolor on ivory in gilded copper locket,2 7/8 x 2 1/4 in. (7.3 x 5.8 cm),Paintings,"Gift of Gloria Manney, 2006",2006.235.143
Catskill Clove in Palingsville,William Rickarby Miller,MetDoesntKnow,1818,1893,1856,"Watercolor, gouache, and graphite on light green wove paper",19 7/8 x 14 1/16 in. (50.5 x 35.7 cm),Drawings,"Gift of Mrs. A. M. Miller, 1893",93.24.4
Portrait of a Russian Nobleman (D. C. Imboden),Albert Herter,American,1871,1950,1918,Oil on canvas,34 1/8 x 30 1/2 in. (87 x 76.8 cm),Paintings,"Purchase, Gift of V. Everit Macy, by exchange, 1923",23.234
Portrait of the Painter,John La Farge,American,1835,1910,1859,Oil on wood panel,16 1/16 x 11 1/2 in. (40.8 x 29.2 cm),Paintings,"Samuel D. Lee Fund, 1934",34.134
Moonlightist,R.B. Kitaj,American,1932,2007,1998,Oil on canvas,28 x 18 in. (71.1 x 45.7 cm),Paintings,"Gift of the artist, in honor of William S. Lieberman, 2004",2004.487
Portrait of a Gentleman,William Verstille,MetDoesntKnow,1757,1803,0,Watercolor on ivory in gold case with brightwork bezel,1 5/8 x 1 3/16 in. (4.1 x 3.1 cm),Paintings,"Dale T. Johnson Fund, 2006",2006.235.265
"The Conquerors (Culebra Cut, Panama Canal)",Jonas Lie,American,1880,1940,1913,Oil on canvas,H. 60 x W. 50 inches (152.4 x 127 cm.),Paintings,"George A. Hearn Fund, 1914",14.18
William Edward Wilmerding,Benjamin Trott,MetDoesntKnow,1770,1843,1825,Watercolor on ivory in gold locket,2 15/16 x 2 3/8 in. (7.5 x 6 cm),Paintings,"Gift of John Wilmerding, 1992",1992.30.1
Study for 'Goat',Arthur Dove,American,1880,1946,1934,"Watercolor, gouache, and graphite on paperboard",4 x 6 in. (10.2 x 15.2 cm),Drawings,"Alfred Stieglitz Collection, 1949",49.70.75
[Construction Site],Walker Evans,American,1903,1975,1960,Tempera on panel,61.0 x 50.8 cm (24 x 20 in. ),Paintings,"Walker Evans Archive, 1994",1994.261.152
Going Out - Early Morning,George Ault,American,1891,1948,1920,Gouache and graphite on paper,"H. 12, W. 16-1/2 inches (30.5 x 41.9 cm.)",Drawings,"Purchase, Samuel I. Newhouse Foundation Inc. Gift, 1983",1983.175
Untitled (Barn and Trees),O. Louis Guglielmi,MetDoesntKnow,1906,1956,1934,Oil on Masonite,"H. 24-1/4, W. 18-1/4 inches (61.6 x 46.4 cm.)",Paintings,"Bequest of Andrew J. DiMaggio, 1990",1992.39.2ab
"Taos Valley, New Mexico",Ernest Blumenschein,American,1874,1960,1933,Oil on canvas,"H. 25, W. 35 inches (63.5 x 88.9 cm.)",Paintings,"George A. Hearn Fund, 1934",34.61
Sound,e. e. cummings,American,1894,1962,1919,Oil on canvas,"H. 35, W. 35-1/8 inches (88.9 x 89.2 cm.)",Paintings,"Bequest of Scofield Thayer, 1982",1984.433.8
Milan Hollow Farm,Andy Warhol,American,1928,1987,1977,Acrylic and silkscreen on canvas,"88 1/4 x 62 in. (224.2 x 157.5 cm) two canvases, each: 44 x 62 in. (111.8 x 157.5 cm)",Paintings,"Gift of Stephen Mazoh, 2004",2004.224.3
"Maquette for tapestry, 'Recollection Pond'",Romare Bearden,American,1911,1988,1976,"Cut and pasted painted and printed papers, watercolor, gouache, ink marker, and graphite on paper","H. 19-1/4, W. 24-3/8 inches (48.9 x 61.9 cm.)",Drawings,"Gift of Gloria F. Ross, 1996",1996.551.2
Composition,Charmion von Wiegand,American,1900,1983,1949,Oil on canvas,"H. 18, W. 18 inches (45.7 x 45.7 cm.)",Paintings,"Gift of William Benenson, 1991",1991.402.16
