Artist_Name,Artwork_Name,Artwork_Year,Process,Dimensions,Provenance,Assension_Number,image
Hiroshi Sugimoto,"Cinerama Dome, Hollywood",1993,"Black and white photograph, edition AP 2/5",20 x 24 in. (50.8 x 61 cm),"The Museum of Contemporary Art, Los Angeles
Gift of the artist and the Angles Gallery",95.17,http://www.moca.org/museum/pc_media_viewer.php?acsnum=95.17&dim=300px
Paul Strand,"Wire Wheel, New York",1930,Platinum palladium print,10 1/8 x 12 3/4 in. (25.7 x 32.4 cm),"The Museum of Contemporary Art, Los Angeles
Gift of Michael E. Hoffman in loving memory of Shirley C. Burden",92.79.3,http://www.moca.org/museum/pc_media_viewer.php?acsnum=92.79.3&dim=300px
Peter Saul,Crime Boy&#039;s Secret Bathroom,1962,Crayon on paper,26 1/4 x 36 in. (66.7 x 91.4 cm),"The Museum of Contemporary Art, Los Angeles
Purchased and promised gift of Manfred and Jennifer Simchowitz",2007.16,http://www.moca.org/museum/pc_media_viewer.php?acsnum=2007.16&dim=300px
Peter Shelton,windpipe,1983,Mixed media construction,108 x 5 x 2 1/2 in. (274.3 x 12.7 x 6.4 cm),"The Museum of Contemporary Art, Los Angeles
Partial and promised gift of Michael J.  Fasman",91.82,http://www.moca.org/museum/pc_media_viewer.php?acsnum=91.82&dim=300px
Frank Stella,"Quaqua! Attaccati la! (#3, 3X)",1986,"Oil, urethane enamel, flourscent alkyd and printing ink on canvas",126 x 136 x 31 1/2 in. (320 x 345.4 x 80 cm),"The Museum of Contemporary Art, Los Angeles
Gift of The Douglas S. Cramer Foundation in honor of Philip and Beatrice Gersh, Marcia Weisman and Rita and Taft Schreiber",99.8,http://www.moca.org/museum/pc_media_viewer.php?acsnum=99.8&dim=300px
Frank Stella,Sidney Guberman (from The Purple Series),1972,"One color lithograph on Deluxe paper, edition 52/100",Paper: 16 x 22 in. (40.6 x 55.9 cm),"The Museum of Contemporary Art, Los Angeles
Gift of J. P. Guerin",2000.93.3,http://www.moca.org/museum/pc_media_viewer.php?acsnum=2000.93.3&dim=300px
Brian Tucker,Benjamin Weissman,0,"Untitled , 1991","Silkscreen on paper, edition 11/15",22 1/2 x 30 in. (57.2 x 76.2 cm),"The Museum of Contemporary Art, Los Angeles
Gift of Richard Telles",http://www.moca.org/museum/pc_media_viewer.php?acsnum=97.126.2&dim=300px
Frank Stella,Michapol I (Polish Village Series),1971,Mixed media on canvas,94 x 102 in. (238.8 x 259.1 cm),"The Museum of Contemporary Art, Los Angeles
Gift of Irwin and Doris Osher",86.49,http://www.moca.org/museum/pc_media_viewer.php?acsnum=86.49&dim=300px
Roy Thurston,#P,1986,Butyrate lacquer on birch plywood,60 x 24 x 3/4 in. (152.4 x 61 x 1.9 cm),"The Museum of Contemporary Art, Los Angeles
The Panza Gift",94.90,http://www.moca.org/museum/pc_media_viewer.php?acsnum=94.90&dim=300px
Robert Therrien,No Title,1988,Silver on bronze,89 x 40 x 40 in. (226.1 x 101.6 x 101.6 cm),"The Museum of Contemporary Art, Los Angeles
The Panza Gift",94.82,http://www.moca.org/museum/pc_media_viewer.php?acsnum=94.82&dim=300px
Wolf Vostell,"130 a L&#039;Heure , 0",0,Crashed mercedes automobile,Dimensions variable,"The Museum of Contemporary Art, Los Angeles
Gift of The Wolf Vostell Estate",99.1,http://www.moca.org/museum/pc_media_viewer.php?acsnum=99.1&dim=300px
De Wain Valentine,Untitled (room drawing),1972,Pencil on paper,18 x 22 3/4 in. (45.7 x 57.8 cm),"The Museum of Contemporary Art, Los Angeles
Bequest of Marcia Simon Weisman",96.170,http://www.moca.org/museum/pc_media_viewer.php?acsnum=96.170&dim=300px
Max Yavno,Noon Prayer,1979,Gelatin silver print,"21 7/8 x 27 7/8 in. (55.6 x 70.8 cm)
Image: 15 x 19 1/4 in. (38.1 x 48.9 cm)","The Museum of Contemporary Art, Los Angeles
The Max Yavno Collection",89.35.137,http://www.moca.org/museum/pc_media_viewer.php?acsnum=89.35.137&dim=300px
Guo Yilin,No. 5,2006,"Color photograph, Edition 6/8",21 x 31 in. (53.3 x 78.7 cm),"The Museum of Contemporary Art, Los Angeles
Gift of Rosette V. Delug",2007.49,http://www.moca.org/museum/pc_media_viewer.php?acsnum=2007.49&dim=300px
Jim Alinder,"A Joy Forever, Roadside, Florida",1974,Gelatin silver print,8 x 17 3/4 in. (20.3 x 45.1 cm),"The Museum of Contemporary Art, Los Angeles
Gift of Sue and Al Dorskind",87.65.1,http://www.moca.org/museum/pc_media_viewer.php?acsnum=87.65.1&dim=300px
Monique Prieto,Am Safety Zone,1999,Acrylic on canvas,72 x 96 in. (182.9 x 243.8 cm),"The Museum of Contemporary Art, Los Angeles
Purchased with funds provided by The Scott D. F. Spiegel Endowment Fund",99.34,http://www.moca.org/museum/pc_media_viewer.php?acsnum=99.34&dim=300px
Giuseppe Penone,"L&#039;Impronta del disegno, Pollice sinistro (The Imprint of Drawing, Left Thumb)",2002,Graphite and etching ink on paper,84 5/8 x 55 1/4 in. (214.9 x 140.3 cm),"The Museum of Contemporary Art, Los Angeles
Gift of Brenda R. Potter and Michael C. Sandler",2005.72,http://www.moca.org/museum/pc_media_viewer.php?acsnum=2005.72&dim=300px
Mimmo Paladino,Ellpodomool,1984,Linocut,38 1/4 x 53 1/2 in. (97.2 x 135.9 cm),"The Museum of Contemporary Art, Los Angeles
Gift of The Atlantic Richfield Company",95.99,http://www.moca.org/museum/pc_media_viewer.php?acsnum=95.99&dim=300px
Philip Perkis,Mexico City,1992,Gelatin silver print,Paper: 9 1/2 x 12 in. (24.1 x 30.5 cm),"The Museum of Contemporary Art, Los Angeles
Gift of Helen Levitt",99.70,http://www.moca.org/museum/pc_media_viewer.php?acsnum=99.70&dim=300px
Bill Owens,I bought the lawn in six-foot rolls.  It&#039;s easy to handle.  I prepare the ground and my wife and son helped roll out the grass.  In one day you have a front yard.,1972,Gelatin silver print,Paper: 8 x 10 in. (20.3 x 25.4 cm),"The Museum of Contemporary Art, Los Angeles
Gift of Gary A. Richwald, MD, MPH in memory of Ann and Marvin Richwald",2004.69.7,http://www.moca.org/museum/pc_media_viewer.php?acsnum=2004.69.7&dim=300px
Bill Owens,Aaron Myra Latkin,1972,Gelatin silver print,Paper: 10 x 8 in. (25.4 x 20.3 cm),"The Museum of Contemporary Art, Los Angeles
Gift of Gary A. Richwald, MD, MPH in memory of Ann and Marvin Richwald",2004.69.78,http://www.moca.org/museum/pc_media_viewer.php?acsnum=2004.69.78&dim=300px
Claes Oldenburg,Hamburger with Pickle and Olive,1962,"Muslin soaked in plaster over wire frame, painted with enamel",7 x 9 x 9 in. (17.8 x 22.9 x 22.9 cm),"The Museum of Contemporary Art, Los Angeles
The Panza Collection",87.10,http://www.moca.org/museum/pc_media_viewer.php?acsnum=87.10&dim=300px
Claes Oldenburg,Blue Pants and Pocket Objects on Chair,1962,"Muslin soaked in plaster over wire frame, painted with enamel",37 x 17 x 26 3/4 in. (94 x 43.2 x 67.9 cm),"The Museum of Contemporary Art, Los Angeles
The Panza Collection",87.15,http://www.moca.org/museum/pc_media_viewer.php?acsnum=87.15&dim=300px
Gabriel Orozco,Untitled (One Peso Bill),2001,Pencil and gouache on one peso bill,2 3/4 x 6 1/8 in. (7 x 15.6 cm),"The Museum of Contemporary Art, Los Angeles
Partial and promised gift of Blake Byrne",2004.194,http://www.moca.org/museum/pc_media_viewer.php?acsnum=2004.194&dim=300px
Gabriel Orozco,Untitled (Pinch Drawing),1995,Mixed media (dirt?) on paper,11 x 8 in. (27.9 x 20.3 cm),"The Museum of Contemporary Art, Los Angeles
Gift of Marc Selwyn",2001.109,http://www.moca.org/museum/pc_media_viewer.php?acsnum=2001.109&dim=300px
Cady Noland,(untitled),1999,Pencil on paper,17 1/2 x 23 1/2 in. (44.5 x 59.7 cm),"The Museum of Contemporary Art, Los Angeles
Gift of Audrey M. Irmas",2001.125.6,http://www.moca.org/museum/pc_media_viewer.php?acsnum=2001.125.6&dim=300px
Cady Noland,"Two Car Crash Polaroids.
Photo credit: Dorota Turcot , 0",0,Two color photostats,"20 x 24 1/2 in. (50.8 x 62.2 cm)
20 x 24 in. (50.8 x 61 cm)","The Museum of Contemporary Art, Los Angeles
Gift of the artist",92.80.13A-B,http://www.moca.org/museum/pc_media_viewer.php?acsnum=92.80.13A-B&dim=300px
Oscar Muñoz,Re/trato,2003,"DVD, edition 5/5",Dimensions variable,"The Museum of Contemporary Art, Los Angeles
Purchased with funds provided by The Jumex Fund for Contemporary Latin American Art",2004.95,http://www.moca.org/museum/pc_media_viewer.php?acsnum=2004.95&dim=300px
Ana Mendieta,Silueta Works in Mexico,1973,"Color photograph, edition of 20",Frame: 19 3/8 x 26 9/16 in. (49.2 x 67.5 cm),"The Museum of Contemporary Art, Los Angeles
Purchased with a grant provided by The Judith Rothschild Foundation",97.119.7,http://www.moca.org/museum/pc_media_viewer.php?acsnum=97.119.7&dim=300px
Roger Mertin,"Untitled: Reclining Woman Holding Plastic , 0",0,Gelatin silver print,"Image: 7 1/2 x 11 1/4 in. (19.1 x 28.6 cm)
11 x 14 in. (27.9 x 35.6 cm)","The Museum of Contemporary Art, Los Angeles
The Ralph M. Parsons Foundation Photography Collection",95.45.24,http://www.moca.org/museum/pc_media_viewer.php?acsnum=95.45.24&dim=300px
Stephen Antonakos,Set of five untitled drawings,1997,Colored pencil on plastivellum,"Each: 20 x 14 in. (50.8 x 35.6 cm)
Frame (each): 24 x 19 1/2 x 1 1/2 in. (61 x 49.5 x 3.8 cm)","Museum of Contemporary Art, THE DOROTHY AND HERBERT VOGEL COLLECTION: FIFTY WORKS FOR FIFTY STATES, a joint initiative of the Trustees of the Dorothy and Herbert Vogel Collection and the National Gallery of Art, with generous support of the National Endowment for the Arts and the Institute for Museum and Library Services.",2008.35A-E,http://www.moca.org/museum/pc_media_viewer.php?acsnum=2008.35A-E&dim=300px
Nicholas Africano,He turned round and round,1989,Oil and wax on canvas in artist's frame,113 3/4 x 161 3/4 in. (288.9 x 410.8 cm),"The Museum of Contemporary Art, Los Angeles
Gift of Lannan Foundation",97.3,http://www.moca.org/museum/pc_media_viewer.php?acsnum=97.3&dim=300px
Siah Armajani,Back Porch with Picnic Table,1985,"Maple, cedar, pine, acrylic paint and stain, bronze, and aluminum screen",168 x 216 x 288 in. (426.7 x 548.6 x 731.5 cm),"The Museum of Contemporary Art, Los Angeles
Gift of Lannan Foundation",97.8,http://www.moca.org/museum/pc_media_viewer.php?acsnum=97.8&dim=300px
Nicholas Africano,He is Cold,1997,Acrylic on canvas,96 x 60 in. (243.8 x 152.4 cm),"The Museum of Contemporary Art, Los Angeles
Gift of Samuel and Pamela Goldstein",2000.84,http://www.moca.org/museum/pc_media_viewer.php?acsnum=2000.84&dim=300px
Roger Mertin,Poultneyville Orchard,1977,Gelatin silver print,"8 x 10 in. (20.3 x 25.4 cm)
Image: 8 x 10 in. (20.3 x 25.4 cm)","The Museum of Contemporary Art, Los Angeles
The Ralph M. Parsons Foundation Photography Collection",95.46.36,http://www.moca.org/museum/pc_media_viewer.php?acsnum=95.46.36&dim=300px
Lee Mullican,The Great Transparents II,1972,Oil on canvas,75 x 75 in. (190.5 x 190.5 cm),"The Museum of Contemporary Art, Los Angeles
Gift of Fannie and Alan Leslie",94.20,http://www.moca.org/museum/pc_media_viewer.php?acsnum=94.20&dim=300px
Kim MacConnel,Made in Korea,1977,Acrylic on sewn cotton strips,94 1/2 x 85 3/4 in. (240 x 217.8 cm),"The Museum of Contemporary Art, Los Angeles
Gift of Barry Sloane",2005.71,http://www.moca.org/museum/pc_media_viewer.php?acsnum=2005.71&dim=300px
John M. Miller,Number 18,1978,"Magna, graphite on canvas",68 1/2 x 91 1/2 in. (174 x 232.4 cm),"The Museum of Contemporary Art, Los Angeles
Gift of Lannan Foundation",97.74,http://www.moca.org/museum/pc_media_viewer.php?acsnum=97.74&dim=300px
Cady Noland,Patty &amp; Baba Wawa.,1992,"Silkscreen on paper, edition 1/1",32 1/4 x 40 in. (81.9 x 101.6 cm),"The Museum of Contemporary Art, Los Angeles
Gift of the artist",92.80.2,http://www.moca.org/museum/pc_media_viewer.php?acsnum=92.80.2&dim=300px
Bruce Nauman,Doe Fawn,1973,"Lithograph, Artist's Proof; edition of 50",32 1/2 x 45 in. (82.6 x 114.3 cm),"The Museum of Contemporary Art, Los Angeles
Gift of Peter and Becky Smith",83.8,http://www.moca.org/museum/pc_media_viewer.php?acsnum=83.8&dim=300px
Rubén Ortiz Torres,"Leyenda de los Volcanes (Volcano&#039;s Legend), Mexico City, Mexico",1991,"Dye Coupler photograph on Fujiflex Super Glossy Color paper, edition 3/15",Paper: 20 x 24 in. (50.8 x 61 cm),"The Museum of Contemporary Art, Los Angeles
Purchased with funds provided by the Curatorial Discretionary Fund",2000.45,http://www.moca.org/museum/pc_media_viewer.php?acsnum=2000.45&dim=300px
Bill Owens,Every Sunday Abe and I read The New York Times and have roast beef for dinner.,1972,Chromogenic print,30 x 40 in. (76.2 x 101.6 cm),"The Museum of Contemporary Art, Los Angeles
Purchased with funds provided by the Acquisition and Collection Committee",2004.65,http://www.moca.org/museum/pc_media_viewer.php?acsnum=2004.65&dim=300px
Bill Owens,"I enjoy the suburbs.  They provide Girl Scouts, PTA, Little League, and soccer for my kids.  The thing I miss most is Black cultural identity for my family.  White middle-class suburbia can&#039;t supply that. (SEE NOTES SECTION FOR COMPLETE TITLE)",1972,Gelatin silver print,Paper: 8 x 10 in. (20.3 x 25.4 cm),"The Museum of Contemporary Art, Los Angeles
Gift of Gary A. Richwald, MD, MPH in memory of Ann and Marvin Richwald",2004.69.46,http://www.moca.org/museum/pc_media_viewer.php?acsnum=2004.69.46&dim=300px
Bill Owens,I&#039;m OK You&#039;re OK is a study of transcendental meditation.,1972,Gelatin silver print,Paper: 8 x 10 in. (20.3 x 25.4 cm),"The Museum of Contemporary Art, Los Angeles
Gift of Gary A. Richwald, MD, MPH in memory of Ann and Marvin Richwald",2004.69.29,http://www.moca.org/museum/pc_media_viewer.php?acsnum=2004.69.29&dim=300px
Jack Pierson,Oasis,1992,"Ektacolor print, edition 1/1","Image: 39 3/4 x 29 3/4 in. (101 x 75.6 cm)
Frame: 43 1/2 x 33 1/2 in. (110.5 x 85.1 cm)","The Museum of Contemporary Art, Los Angeles
Purchased with funds provided by Marc Selwyn",93.24,http://www.moca.org/museum/pc_media_viewer.php?acsnum=93.24&dim=300px
Doug Aitken,Electric Earth,1999,"Eight DVD installation, edition 3/4",Dimensions variable,"The Museum of Contemporary Art, Los Angeles
Partial and promised gift of David Teiger in honor of Jeremy Strick",2000.13,http://www.moca.org/museum/pc_media_viewer.php?acsnum=2000.13&dim=300px
Guo Yilin,No. 4,2006,"Color photograph, Edition 6/8",21 x 31 in. (53.3 x 78.7 cm),"The Museum of Contemporary Art, Los Angeles
Gift of Rosette V. Delug",2007.48,http://www.moca.org/museum/pc_media_viewer.php?acsnum=2007.48&dim=300px
Max Yavno,Year of the Peace,1979,Gelatin silver print,"16 x 19 7/8 in. (40.6 x 50.5 cm)
Image: 14 7/8 x 19 3/8 in. (37.8 x 49.2 cm)","The Museum of Contemporary Art, Los Angeles
The Max Yavno Collection",89.35.145,http://www.moca.org/museum/pc_media_viewer.php?acsnum=89.35.145&dim=300px
Max Yavno,Santa Monica Beach,1949,Gelatin silver print,12 1/2 x 19 1/2 in. (31.8 x 49.5 cm),"The Museum of Contemporary Art, Los Angeles
The Max Yavno Collection",89.35.51,http://www.moca.org/museum/pc_media_viewer.php?acsnum=89.35.51&dim=300px
Max Yavno,Old Man and Boy with Hats,1979,Gelatin silver print,"16 x 19 7/8 in. (40.6 x 50.5 cm)
Image: 13 1/2 x 19 3/8 in. (34.3 x 49.2 cm)","The Museum of Contemporary Art, Los Angeles
The Max Yavno Collection",89.35.154,http://www.moca.org/museum/pc_media_viewer.php?acsnum=89.35.154&dim=300px
Max Yavno,Near Aswan,1979,Gelatin silver print,"22 x 28 in. (55.9 x 71.1 cm)
Image: 15 1/2 x 19 3/8 in. (39.4 x 49.2 cm)","The Museum of Contemporary Art, Los Angeles
The Max Yavno Collection",89.35.141,http://www.moca.org/museum/pc_media_viewer.php?acsnum=89.35.141&dim=300px
Max Yavno,"Old Man, Los Angeles",1945,Gelatin silver print,"20 x 15 in. (50.8 x 38.1 cm)
Image: 9 1/2 x 7 5/8 in. (24.1 x 19.4 cm)","The Museum of Contemporary Art, Los Angeles
The Max Yavno Collection",89.35.45,http://www.moca.org/museum/pc_media_viewer.php?acsnum=89.35.45&dim=300px
Peter Wegner,White/Off White/. . . (42 Whites),1999,Oil on wood,64 1/2 x 98 in. (163.8 x 248.9 cm),"The Museum of Contemporary Art, Los Angeles
Partial and promised gift of David Teiger",2002.1,http://www.moca.org/museum/pc_media_viewer.php?acsnum=2002.1&dim=300px
Kara Walker,"About the title - I had wanted to title this &quot;sketch after my Mississippi youth&quot; or &quot;the excavation&quot; as I pictured it a sort of introduction to the panorama to come. However the image, which is partly borrowed...(SEE FILE FOR COMPLETE TITLE)",2002,Graphite on paper,"66 3/8 x 138 3/4 in. (168.6 x 352.4 cm)
Frame: 71 x 142 1/2 in. (180.3 x 362 cm)","The Museum of Contemporary Art, Los Angeles
Partial and promised gift of Manfred and Jennifer Simchowitz",2003.100,http://www.moca.org/museum/pc_media_viewer.php?acsnum=2003.100&dim=300px
De Wain Valentine,Untitled (room drawing),1972,Pencil on paper,Paper: 18 x 22 3/4 in. (45.7 x 57.8 cm),"The Museum of Contemporary Art, Los Angeles
Bequest of Marcia Simon Weisman",96.169,http://www.moca.org/museum/pc_media_viewer.php?acsnum=96.169&dim=300px
Robert Von Sternberg,Palms,1977,Gelatin silver print,10 1/2 x 14 in. (26.7 x 35.6 cm),"The Museum of Contemporary Art, Los Angeles
Gift of Sue and Al Dorskind",87.66.20,http://www.moca.org/museum/pc_media_viewer.php?acsnum=87.66.20&dim=300px
Robert Therrien,"No Title , 0",0,Enamel on metal and silver on brass,41 x 46 x 13 1/2 in. (104.1 x 116.8 x 34.3 cm),"The Museum of Contemporary Art, Los Angeles
The Panza Gift",94.86,http://www.moca.org/museum/pc_media_viewer.php?acsnum=94.86&dim=300px
Roy Thurston,89-3,1989,Butyrate lacquer on birch plywood,60 x 28 in. (152.4 x 71.1 cm),"The Museum of Contemporary Art, Los Angeles
The Panza Gift",94.92,http://www.moca.org/museum/pc_media_viewer.php?acsnum=94.92&dim=300px
Frank Stella,Ileana Sonnabend (from The Purple Series),1972,"One color lithograph on Deluxe paper, edition 52/100",Paper: 16 x 22 in. (40.6 x 55.9 cm),"The Museum of Contemporary Art, Los Angeles
Gift of J. P. Guerin",2000.93.2,http://www.moca.org/museum/pc_media_viewer.php?acsnum=2000.93.2&dim=300px
Frank Stella,Noguchi&#039;s Okinawa Woodpecker from the Exotic Bird Series,1977,"27 color lithograph/screenprint, edition 21/50",Frame: 36 x 48 x 2 in. (91.4 x 121.9 x 5.1 cm),"The Museum of Contemporary Art, Los Angeles
Gift of David Gensburg",82.12.1,http://www.moca.org/museum/pc_media_viewer.php?acsnum=82.12.1&dim=300px
Peter Shelton,bigfeet,1985,"Cast iron, edition 2/3",16 x 18 x 22 in. (40.6 x 45.7 x 55.9 cm),"The Museum of Contemporary Art, Los Angeles
The Panza Gift",94.79,http://www.moca.org/museum/pc_media_viewer.php?acsnum=94.79&dim=300px
Mitchell Syrop,Treated and Released,1985,Oil on photo mural,Each: 38 1/2 x 48 in. (97.8 x 121.9 cm),"The Museum of Contemporary Art, Los Angeles
The El Paso Natural Gas Company Fund for California Art",86.46,http://www.moca.org/museum/pc_media_viewer.php?acsnum=86.46&dim=300px
David Smith,Cubi III,1961,Stainless steel,95 1/2 x 33 x 19 in. (242.6 x 83.8 x 48.3 cm),"The Museum of Contemporary Art, Los Angeles
Partial and promised gift of Beatrice and Philip Gersh",89.43,http://www.moca.org/museum/pc_media_viewer.php?acsnum=89.43&dim=300px
Keith Smith,Self-portrait,1973,Verifax matrix print with hand-sewn stitching,8 x 14 in. (20.3 x 35.6 cm),"The Museum of Contemporary Art, Los Angeles
Gift of Irene Borger",88.41,http://www.moca.org/museum/pc_media_viewer.php?acsnum=88.41&dim=300px
Charles Ray,Bath,1989,"Porcelain bathtub, brass, aluminum, and water",60 x 29 1/2 x 21 in. (152.4 x 74.9 x 53.3 cm),"The Museum of Contemporary Art, Los Angeles
The El Paso Natural Gas Company Fund for California Art",89.33,http://www.moca.org/museum/pc_media_viewer.php?acsnum=89.33&dim=300px
Edward Ruscha,"Standard, Amarillo, Texas",1962,"Gelatin silver print, edition 7/25",19 1/2 x 23 in. (49.5 x 58.4 cm),"The Museum of Contemporary Art, Los Angeles
Gift of Gilbert B. Friesen",90.13.5,http://www.moca.org/museum/pc_media_viewer.php?acsnum=90.13.5&dim=300px
Susan Rankaitis,Accordance/Motion,1981,Mixed media photograph,20 x 24 in. (50.8 x 61 cm),"The Museum of Contemporary Art, Los Angeles
Gift of Ruth and Jacob Bloom",97.144.3,http://www.moca.org/museum/pc_media_viewer.php?acsnum=97.144.3&dim=300px
Edward Ruscha,Insects,1972,"Six silkscreens, edition 41/100",Each: 20 1/8 x 27 in. (51.1 x 68.6 cm),"The Museum of Contemporary Art, Los Angeles
Gift of Jonathan Novak",91.26A-F,http://www.moca.org/museum/pc_media_viewer.php?acsnum=91.26A-F&dim=300px
Sigmar Polke,Gerhard Richter,0,"Umwandlung , 1968","Lithograph, edition 190/200",19 5/8 x 27 1/2 in. (49.8 x 69.9 cm),"The Museum of Contemporary Art, Los Angeles
Partial and promised gift of Blake Byrne",http://www.moca.org/museum/pc_media_viewer.php?acsnum=2004.197&dim=300px
Sigmar Polke,Gerhard Richter,0,"Umwandlung (Metamorphasis) (B.11) , 1968",Offset lithograph,18 1/4 x 26 1/2 in. (46.4 x 67.3 cm),"The Museum of Contemporary Art, Los Angeles
Gift of Lannan Foundation",http://www.moca.org/museum/pc_media_viewer.php?acsnum=97.104&dim=300px
Edward Ruscha,Stains,1970,"Seventy-five mixed-media stains on Eagle Coupon Bond 100% cotton paper, plus one stain on white silk moiré fabric, boxed in portfolio, edition 28/70",Portfolio Box: 12 x 10 1/2 x 1 in. (30.5 x 26.7 x 2.5 cm),"The Museum of Contemporary Art, Los Angeles
Purchased with funds provided by the Drawings Committee",2004.239,http://www.moca.org/museum/pc_media_viewer.php?acsnum=2004.239&dim=300px
Laurie Simmons,Ventriloquist,1986,Photolithograph on paper,33 1/2 x 26 5/8 in. (85.1 x 67.6 cm),"The Museum of Contemporary Art, Los Angeles
Gift of Alan N. Kleinman from the Estate of Marsha Kleinman",99.95,http://www.moca.org/museum/pc_media_viewer.php?acsnum=99.95&dim=300px
Christian Schumann,The Conductor Disappeared,1993,Mixed media on paper,20 x 46 in. (50.8 x 116.8 cm),"The Museum of Contemporary Art, Los Angeles
Gift of Councilman Joel Wachs",96.35,http://www.moca.org/museum/pc_media_viewer.php?acsnum=96.35&dim=300px
Tunga,Seeding Mermaids (r),1987,"Gelatin silver print, edition 3/4",33 x 50 in. (83.8 x 127 cm),"The Museum of Contemporary Art, Los Angeles
Purchased with funds provided by the Curatorial Discretionary Fund",2002.49.4,http://www.moca.org/museum/pc_media_viewer.php?acsnum=2002.49.4&dim=300px
Mark Tansey,Triumph Over Mastery,1986,Oil and pencil on canvas,59 7/8 x 144 1/4 in. (152.1 x 366.4 cm),"The Museum of Contemporary Art, Los Angeles
Gift of Steven and Patsy Tisch",87.4,http://www.moca.org/museum/pc_media_viewer.php?acsnum=87.4&dim=300px
Roy Thurston,89-10,1989,Butyrate lacquer on birch plywood,60 x 28 in. (152.4 x 71.1 cm),"The Museum of Contemporary Art, Los Angeles
The Panza Gift",94.95,http://www.moca.org/museum/pc_media_viewer.php?acsnum=94.95&dim=300px
Robert Therrien,No Title,1988,Bronze and mixed media,73 x 31 1/4 x 31 1/4 in. (185.4 x 79.4 x 79.4 cm),"The Museum of Contemporary Art, Los Angeles
The Panza Gift",94.88,http://www.moca.org/museum/pc_media_viewer.php?acsnum=94.88&dim=300px
De Wain Valentine,Blue Circle,1972,Cast polyester resin,70 x 70 x 5 in. (177.8 x 177.8 x 12.7 cm),"The Museum of Contemporary Art, Los Angeles
Gift of Mr. and Mrs. Norman Lear",92.71,http://www.moca.org/museum/pc_media_viewer.php?acsnum=92.71&dim=300px
Hannah Wilke,White Plains,1975,"Voltex, Liquitex, and snaps",18 x 24 x 8 in. (45.7 x 61 x 20.3 cm),"The Museum of Contemporary Art, Los Angeles
Gift of Ruth and Jacob Bloom",2002.58,http://www.moca.org/museum/pc_media_viewer.php?acsnum=2002.58&dim=300px
Edward Weston,Clouds,1941,Silver print,8 x 9 3/4 in. (20.3 x 24.8 cm),"The Museum of Contemporary Art, Los Angeles
Gift of Philip Feldman",86.53,http://www.moca.org/museum/pc_media_viewer.php?acsnum=86.53&dim=300px
Benjamin Weissman,Jim Shaw,0,"study for Horror a Vacui , 1991",Pencil on graph paper,Paper: 17 x 22 in. (43.2 x 55.9 cm),"The Museum of Contemporary Art, Los Angeles
Purchased with funds provided by Sotheby's Inc.",http://www.moca.org/museum/pc_media_viewer.php?acsnum=92.91.2&dim=300px
Max Yavno,"Wailing Wall, Women&#039;s Section",1979,Gelatin silver print,15 1/2 x 19 3/8 in. (39.4 x 49.2 cm),"The Museum of Contemporary Art, Los Angeles
The Max Yavno Collection",89.35.152,http://www.moca.org/museum/pc_media_viewer.php?acsnum=89.35.152&dim=300px
Max Yavno,Mexico City Cathedral,1981,Gelatin silver print,"19 7/8 x 16 in. (50.5 x 40.6 cm)
Image: 19 1/4 x 13 7/8 in. (48.9 x 35.2 cm)","The Museum of Contemporary Art, Los Angeles
The Max Yavno Collection",89.35.162,http://www.moca.org/museum/pc_media_viewer.php?acsnum=89.35.162&dim=300px
Guo Yilin,No. 3,2006,"Color photograph, Edition 6/8",21 x 31 in. (53.3 x 78.7 cm),"The Museum of Contemporary Art, Los Angeles
Gift of Rosette V. Delug",2007.47,http://www.moca.org/museum/pc_media_viewer.php?acsnum=2007.47&dim=300px
Pierre Alechinsky,Pres de la Bete,1960,Oil on canvas,31 x 27 1/4 in. (78.7 x 69.2 cm),"The Museum of Contemporary Art, Los Angeles
The Rita and Taft Schreiber Collection
Given in loving memory of her husband, Taft Schreiber, by Rita Schreiber",89.10,http://www.moca.org/museum/pc_media_viewer.php?acsnum=89.10&dim=300px
John Ahearn,David,1980,Acrylic on cast plaster,15 1/8 x 18 3/4 x 8 1/4 in. (38.4 x 47.6 x 21 cm),"The Museum of Contemporary Art, Los Angeles
Gift of Lannan Foundation",97.4,http://www.moca.org/museum/pc_media_viewer.php?acsnum=97.4&dim=300px
James Welling,LIV,1988,Polacolor ER print (unique),24 x 20 in. (61 x 50.8 cm),"The Museum of Contemporary Art, Los Angeles
Gift of Peter and Eileen Norton, Santa Monica, California",90.19,http://www.moca.org/museum/pc_media_viewer.php?acsnum=90.19&dim=300px
Bill Owens,How can I worry about the damned dishes when there are children dying in Vietnam.,1972,Gelatin silver print,Paper: 8 x 10 in. (20.3 x 25.4 cm),"The Museum of Contemporary Art, Los Angeles
Gift of Gary A. Richwald, MD, MPH in memory of Ann and Marvin Richwald",2004.69.42,http://www.moca.org/museum/pc_media_viewer.php?acsnum=2004.69.42&dim=300px
Jonathan Pylypchuk,You Are the Sweetest Heart in Anyone&#039;s Chest,2000,Mixed media on panel,61 1/2 x 48 in. (156.2 x 121.9 cm),"The Museum of Contemporary Art, Los Angeles
Gift of Matthew Aberle in memory of Giovanni Intra",2003.48,http://www.moca.org/museum/pc_media_viewer.php?acsnum=2003.48&dim=300px
