technique,provenance,title,imageUrl,dimensions,artist,accessionId,url
"Metal, wire, cloth and other mixed media","CAAM Foundation Purchase, with funds provided by the City of Los Angeles, Cultural Affairs Department",Ethnic Heritage Series: California Crosswalk,http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5COutterbridge%5CCrosswalk%2Ejpg,"28"" H x 36"" W x 72"" D",John Wilfred Outterbridge,AF1989.93,http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+John+Wilfred+Outterbridge&whereclause=where+maker%3D%27John+Wilfred+Outterbridge%27+OR+cleanmaker%3D%27John+Wilfred+Outterbridge%27+OR+maker1%3D%27John+Wilfred+Outterbridge%27+OR+maker2%3D%27John+Wilfred+Outterbridge%27+OR+maker3%3D%27John+Wilfred+Outterbridge%27+OR+maker4%3D%27John+Wilfred+Outterbridge%27+OR+maker5%3D%27John+Wilfred+Outterbridge%27&current_record=3
"wood, tin and mixed media",Museum purchase,Twenty-two Rhymes in a Row,http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5COutterbridge%5C22%2Ebmp,"Each piece approximately 25"" H x 3"" Diameter, posts are 2"" W",John Wilfred Outterbridge,2001.3,http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+John+Wilfred+Outterbridge&whereclause=where+maker%3D%27John+Wilfred+Outterbridge%27+OR+cleanmaker%3D%27John+Wilfred+Outterbridge%27+OR+maker1%3D%27John+Wilfred+Outterbridge%27+OR+maker2%3D%27John+Wilfred+Outterbridge%27+OR+maker3%3D%27John+Wilfred+Outterbridge%27+OR+maker4%3D%27John+Wilfred+Outterbridge%27+OR+maker5%3D%27John+Wilfred+Outterbridge%27&current_record=4
Mixed media assemblage construction,Gift of the artist,REVIEW/54--Outhouse,http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5COutterbridge%5COutterbride%5FOuthous%2Ejpg,"84"" H x 32"" W x 40""D",John Wilfred Outterbridge,2008.6,http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+John+Wilfred+Outterbridge&whereclause=where+maker%3D%27John+Wilfred+Outterbridge%27+OR+cleanmaker%3D%27John+Wilfred+Outterbridge%27+OR+maker1%3D%27John+Wilfred+Outterbridge%27+OR+maker2%3D%27John+Wilfred+Outterbridge%27+OR+maker3%3D%27John+Wilfred+Outterbridge%27+OR+maker4%3D%27John+Wilfred+Outterbridge%27+OR+maker5%3D%27John+Wilfred+Outterbridge%27&current_record=5
bronze,Gift of the Director Arts Circle,Standing Woman,http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CStanding%2Ejpg,"26"" H x 11"" W x 6"" D",John Woodrow Wilson,AF19859.27,http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+John+Woodrow+Wilson&whereclause=where+maker%3D%27John+Woodrow+Wilson%27+OR+cleanmaker%3D%27John+Woodrow+Wilson%27+OR+maker1%3D%27John+Woodrow+Wilson%27+OR+maker2%3D%27John+Woodrow+Wilson%27+OR+maker3%3D%27John+Woodrow+Wilson%27+OR+maker4%3D%27John+Woodrow+Wilson%27+OR+maker5%3D%27John+Woodrow+Wilson%27&current_record=1
Offset lithograph,Gift of Carolyn Berger,First Annual John Coltrane Festival,http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CPosters%5CColtrane%2Ejpg,"28.75"" H x 20.25"" W",Jowcol Music/Hollar Boys Advertising,2003.4.3,http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+Jowcol+Music%2FHollar+Boys+Advertising&whereclause=where+maker%3D%27Jowcol+Music%2FHollar+Boys+Advertising%27+OR+cleanmaker%3D%27Jowcol+Music%2FHollar+Boys+Advertising%27+OR+maker1%3D%27Jowcol+Music%2FHollar+Boys+Advertising%27+OR+maker2%3D%27Jowcol+Music%2FHollar+Boys+Advertising%27+OR+maker3%3D%27Jowcol+Music%2FHollar+Boys+Advertising%27+OR+maker4%3D%27Jowcol+Music%2FHollar+Boys+Advertising%27+OR+maker5%3D%27Jowcol+Music%2FHollar+Boys+Advertising%27&current_record=1
Gelatin silver print,Collection of California African American Museum,Rosa Parks,http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CFICitems%5CSedwick%5FParks%2Ejpg,"10"" x 8""",Judith Sedwick,AFL198610.71.41,http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+Judith+Sedwick&whereclause=where+maker%3D%27Judith+Sedwick%27+OR+cleanmaker%3D%27Judith+Sedwick%27+OR+maker1%3D%27Judith+Sedwick%27+OR+maker2%3D%27Judith+Sedwick%27+OR+maker3%3D%27Judith+Sedwick%27+OR+maker4%3D%27Judith+Sedwick%27+OR+maker5%3D%27Judith+Sedwick%27&current_record=1
Wood,Gift of Mr. & Mrs. Lefkowitz,Kigango,http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CVigango%5CEWZK7%2Ejpg,"73.5"" H","Kenya, Griama",AF198810.119.3,http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+Kenya%2C+Griama&whereclause=where+maker%3D%27Kenya%2C+Griama%27+OR+cleanmaker%3D%27Kenya%2C+Griama%27+OR+maker1%3D%27Kenya%2C+Griama%27+OR+maker2%3D%27Kenya%2C+Griama%27+OR+maker3%3D%27Kenya%2C+Griama%27+OR+maker4%3D%27Kenya%2C+Griama%27+OR+maker5%3D%27Kenya%2C+Griama%27&current_record=1
Stereograph photography,Gift of Paul Kiler,A Typical Texas Cotton Field At Picking Time,http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CStereo+cards%5CTexasCotton%5Fverso%2Ejpg,"3.5"" H x 7"" W",Keystone View Company,2003.3.1,http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+Keystone+View+Company&whereclause=where+maker%3D%27Keystone+View+Company%27+OR+cleanmaker%3D%27Keystone+View+Company%27+OR+maker1%3D%27Keystone+View+Company%27+OR+maker2%3D%27Keystone+View+Company%27+OR+maker3%3D%27Keystone+View+Company%27+OR+maker4%3D%27Keystone+View+Company%27+OR+maker5%3D%27Keystone+View+Company%27&current_record=1
Stereograph photography,Gift of Paul Kiler,A Typical Texas Cotton Field At Picking Time (duplicate),http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CStereo+cards%5CTexas+Cotton+Field%2Ejpg,"3.5"" H x 7"" W",Keystone View Company,2003.3.2,http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+Keystone+View+Company&whereclause=where+maker%3D%27Keystone+View+Company%27+OR+cleanmaker%3D%27Keystone+View+Company%27+OR+maker1%3D%27Keystone+View+Company%27+OR+maker2%3D%27Keystone+View+Company%27+OR+maker3%3D%27Keystone+View+Company%27+OR+maker4%3D%27Keystone+View+Company%27+OR+maker5%3D%27Keystone+View+Company%27&current_record=2
"A reconstructed 1930's chair with enamels, photographs, quotes and a radiator base",Gift of Jack X Fields,To Sit As A Ladder (In Honor of Rosa Parks),http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CKim+Abeles%5Crosaparks+chair1+copy%2Ejpg,"67"" H  x 22"" W  x 12"" D",Kim Abeles,AF19926.25,http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+Kim+Abeles&whereclause=where+maker%3D%27Kim+Abeles%27+OR+cleanmaker%3D%27Kim+Abeles%27+OR+maker1%3D%27Kim+Abeles%27+OR+maker2%3D%27Kim+Abeles%27+OR+maker3%3D%27Kim+Abeles%27+OR+maker4%3D%27Kim+Abeles%27+OR+maker5%3D%27Kim+Abeles%27&current_record=1
"Bound book framed with satin, wood, metal and lock of hair; framed lithograph on outside cover",Gift of Kim Abeles,Encyclopedia Persona,http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CKim+Abeles%5CAbeles%5FPersonaF%2Ejpg,"15.75"" H x 13"" W x 2.5"" D",Kim Abeles,2004.7,http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+Kim+Abeles&whereclause=where+maker%3D%27Kim+Abeles%27+OR+cleanmaker%3D%27Kim+Abeles%27+OR+maker1%3D%27Kim+Abeles%27+OR+maker2%3D%27Kim+Abeles%27+OR+maker3%3D%27Kim+Abeles%27+OR+maker4%3D%27Kim+Abeles%27+OR+maker5%3D%27Kim+Abeles%27&current_record=2
business card,Collection of California African American Museum,Benefit Building Fund Hawaiian Luau,http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CFICitems%5CKIngHotel%5FLuau%2Ejpg,"2"" x 3.5""",King's Hotel (Formerly Dunbar),FIC2008.1.3abc,http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+King%27s+Hotel+%28Formerly+Dunbar%29&whereclause=where+maker%3D%27King%27%27s+Hotel+%28Formerly+Dunbar%29%27+OR+cleanmaker%3D%27King%27%27s+Hotel+%28Formerly+Dunbar%29%27+OR+maker1%3D%27King%27%27s+Hotel+%28Formerly+Dunbar%29%27+OR+maker2%3D%27King%27%27s+Hotel+%28Formerly+Dunbar%29%27+OR+maker3%3D%27King%27%27s+Hotel+%28Formerly+Dunbar%29%27+OR+maker4%3D%27King%27%27s+Hotel+%28Formerly+Dunbar%29%27+OR+maker5%3D%27King%27%27s+Hotel+%28Formerly+Dunbar%29%27&current_record=1
Wood,Gift of Dr. and Mrs. Melvin Silverman,"Mask, helmet",http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CSilverman%5CKuba+mask%2Ejpg,"14"" x 10"" x 14""",Kuba People of Congo,AF199312.63.49,http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+Kuba+People+of+Congo&whereclause=where+maker%3D%27Kuba+People+of+Congo%27+OR+cleanmaker%3D%27Kuba+People+of+Congo%27+OR+maker1%3D%27Kuba+People+of+Congo%27+OR+maker2%3D%27Kuba+People+of+Congo%27+OR+maker3%3D%27Kuba+People+of+Congo%27+OR+maker4%3D%27Kuba+People+of+Congo%27+OR+maker5%3D%27Kuba+People+of+Congo%27&current_record=1
Ceramic with mixed media,"Commissioned by Seagram's Gin as part of its national program ""Perspectives in African American Art""",Indwell,http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CLavialle+Campbell%5CIndwell%2Ejpg,H 8' x W 21' x D 35',Lavialle Campbell,AF19993.11,http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+Lavialle+Campbell&whereclause=where+maker%3D%27Lavialle+Campbell%27+OR+cleanmaker%3D%27Lavialle+Campbell%27+OR+maker1%3D%27Lavialle+Campbell%27+OR+maker2%3D%27Lavialle+Campbell%27+OR+maker3%3D%27Lavialle+Campbell%27+OR+maker4%3D%27Lavialle+Campbell%27+OR+maker5%3D%27Lavialle+Campbell%27&current_record=1
Rotogravure,Gift of Edward T. Garcia,"""When he Plays Jazz, he's Got--Hot Lips"" (A Blues Fox Trot Song)",http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CSheet%5Fmusic%5CGarcia%5Fsheetmusic%5CHotLips+copy%2Ejpg,"12.25"" x 9.25""","Leo. Feist, Inc.",2007.11.4,http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+Leo%2E+Feist%2C+Inc%2E&whereclause=where+maker%3D%27Leo%2E+Feist%2C+Inc%2E%27+OR+cleanmaker%3D%27Leo%2E+Feist%2C+Inc%2E%27+OR+maker1%3D%27Leo%2E+Feist%2C+Inc%2E%27+OR+maker2%3D%27Leo%2E+Feist%2C+Inc%2E%27+OR+maker3%3D%27Leo%2E+Feist%2C+Inc%2E%27+OR+maker4%3D%27Leo%2E+Feist%2C+Inc%2E%27+OR+maker5%3D%27Leo%2E+Feist%2C+Inc%2E%27&current_record=1
Rotogravure,Gift of Edward T. Garcia,"""Sam, The Old Accordion Man"" (Novelty Fox Trot Song)",http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CSheet%5Fmusic%5CGarcia%5Fsheetmusic%5CSam%5FAccordian+copy%2Ejpg,"12.25"" x 9.25""","Leo. Feist, Inc.",2007.11.6,http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+Leo%2E+Feist%2C+Inc%2E&whereclause=where+maker%3D%27Leo%2E+Feist%2C+Inc%2E%27+OR+cleanmaker%3D%27Leo%2E+Feist%2C+Inc%2E%27+OR+maker1%3D%27Leo%2E+Feist%2C+Inc%2E%27+OR+maker2%3D%27Leo%2E+Feist%2C+Inc%2E%27+OR+maker3%3D%27Leo%2E+Feist%2C+Inc%2E%27+OR+maker4%3D%27Leo%2E+Feist%2C+Inc%2E%27+OR+maker5%3D%27Leo%2E+Feist%2C+Inc%2E%27&current_record=2
Gelatin silver print,Gift of Ida Walls Lee in memory of Vermont Jeffries,"Rev. Fred Shuttlesworth of the Montgomery, AL Bus Boycott fame came",http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CJeffries%5C1%2Ejpg,13.5 H x 9.25 W,LeRoy W. Jeffries,2004.2.1,http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+LeRoy+W%2E+Jeffries&whereclause=where+maker%3D%27LeRoy+W%2E+Jeffries%27+OR+cleanmaker%3D%27LeRoy+W%2E+Jeffries%27+OR+maker1%3D%27LeRoy+W%2E+Jeffries%27+OR+maker2%3D%27LeRoy+W%2E+Jeffries%27+OR+maker3%3D%27LeRoy+W%2E+Jeffries%27+OR+maker4%3D%27LeRoy+W%2E+Jeffries%27+OR+maker5%3D%27LeRoy+W%2E+Jeffries%27&current_record=1
Gelatin silver print,Gift of Ida Walls Lee in memory of Vermont Jeffries,They came from everywhereeven Mississippi,http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CJeffries%5C2%2Ejpg,13.5 H x 9.5 W,LeRoy W. Jeffries,2004.2.2,http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+LeRoy+W%2E+Jeffries&whereclause=where+maker%3D%27LeRoy+W%2E+Jeffries%27+OR+cleanmaker%3D%27LeRoy+W%2E+Jeffries%27+OR+maker1%3D%27LeRoy+W%2E+Jeffries%27+OR+maker2%3D%27LeRoy+W%2E+Jeffries%27+OR+maker3%3D%27LeRoy+W%2E+Jeffries%27+OR+maker4%3D%27LeRoy+W%2E+Jeffries%27+OR+maker5%3D%27LeRoy+W%2E+Jeffries%27&current_record=2
Gelatin silver print,Gift of Ida Walls Lee in memory of Vermont Jeffries,Marian Anderson camethe greatest voice of the century,http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CJeffries%5C3%2Ejpg,13 7/8 H x 9.5 W,LeRoy W. Jeffries,2004.2.3,http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+LeRoy+W%2E+Jeffries&whereclause=where+maker%3D%27LeRoy+W%2E+Jeffries%27+OR+cleanmaker%3D%27LeRoy+W%2E+Jeffries%27+OR+maker1%3D%27LeRoy+W%2E+Jeffries%27+OR+maker2%3D%27LeRoy+W%2E+Jeffries%27+OR+maker3%3D%27LeRoy+W%2E+Jeffries%27+OR+maker4%3D%27LeRoy+W%2E+Jeffries%27+OR+maker5%3D%27LeRoy+W%2E+Jeffries%27&current_record=3
Gelatin silver print,Gift of Ida Walls Lee in memory of Vermont Jeffries,"""The great March on Washington and Labor leaderA.P. Randolph cameHe saw a 25 year dream come true.",http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CJeffries%5C4%2Ejpg,8.25 H x 13.5 W,LeRoy W. Jeffries,2004.2.4,http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+LeRoy+W%2E+Jeffries&whereclause=where+maker%3D%27LeRoy+W%2E+Jeffries%27+OR+cleanmaker%3D%27LeRoy+W%2E+Jeffries%27+OR+maker1%3D%27LeRoy+W%2E+Jeffries%27+OR+maker2%3D%27LeRoy+W%2E+Jeffries%27+OR+maker3%3D%27LeRoy+W%2E+Jeffries%27+OR+maker4%3D%27LeRoy+W%2E+Jeffries%27+OR+maker5%3D%27LeRoy+W%2E+Jeffries%27&current_record=4
Gelatin silver print,Gift of Ida Walls Lee in memory of Vermont Jeffries,"and Publisher, John Johnson, was there along with friends and co-workers",http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CJeffries%5C5%2Ejpg,9 H x 13.25 W,LeRoy W. Jeffries,2004.2.5,http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+LeRoy+W%2E+Jeffries&whereclause=where+maker%3D%27LeRoy+W%2E+Jeffries%27+OR+cleanmaker%3D%27LeRoy+W%2E+Jeffries%27+OR+maker1%3D%27LeRoy+W%2E+Jeffries%27+OR+maker2%3D%27LeRoy+W%2E+Jeffries%27+OR+maker3%3D%27LeRoy+W%2E+Jeffries%27+OR+maker4%3D%27LeRoy+W%2E+Jeffries%27+OR+maker5%3D%27LeRoy+W%2E+Jeffries%27&current_record=5
Gelatin silver print,Gift of Ida Walls Lee in memory of Vermont Jeffries,"The great organizers deputy came, who put the march in motionBayard Rusten",http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CJeffries%5C6%2Ejpg,9.25 H x 13.25 W,LeRoy W. Jeffries,2004.2.6,http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+LeRoy+W%2E+Jeffries&whereclause=where+maker%3D%27LeRoy+W%2E+Jeffries%27+OR+cleanmaker%3D%27LeRoy+W%2E+Jeffries%27+OR+maker1%3D%27LeRoy+W%2E+Jeffries%27+OR+maker2%3D%27LeRoy+W%2E+Jeffries%27+OR+maker3%3D%27LeRoy+W%2E+Jeffries%27+OR+maker4%3D%27LeRoy+W%2E+Jeffries%27+OR+maker5%3D%27LeRoy+W%2E+Jeffries%27&current_record=6
Gelatin silver print,Gift of Ida Walls Lee in memory of Vermont Jeffries,"And the nations spiritual leader, Dr. Martin Luther King, came and electrified the multitudehe had a dream.",http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CJeffries%5C7%2Ejpg,9.25 H x 13.5 W,LeRoy W. Jeffries,2004.2.7,http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+LeRoy+W%2E+Jeffries&whereclause=where+maker%3D%27LeRoy+W%2E+Jeffries%27+OR+cleanmaker%3D%27LeRoy+W%2E+Jeffries%27+OR+maker1%3D%27LeRoy+W%2E+Jeffries%27+OR+maker2%3D%27LeRoy+W%2E+Jeffries%27+OR+maker3%3D%27LeRoy+W%2E+Jeffries%27+OR+maker4%3D%27LeRoy+W%2E+Jeffries%27+OR+maker5%3D%27LeRoy+W%2E+Jeffries%27&current_record=7
Gelatin silver print,Gift of Ida Walls Lee in memory of Vermont Jeffries,"SNCCs John Lewis was there, after he changed his speech",http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CJeffries%5C8%2Ejpg,9.25 H x 13.25 W,LeRoy W. Jeffries,2004.2.8,http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+LeRoy+W%2E+Jeffries&whereclause=where+maker%3D%27LeRoy+W%2E+Jeffries%27+OR+cleanmaker%3D%27LeRoy+W%2E+Jeffries%27+OR+maker1%3D%27LeRoy+W%2E+Jeffries%27+OR+maker2%3D%27LeRoy+W%2E+Jeffries%27+OR+maker3%3D%27LeRoy+W%2E+Jeffries%27+OR+maker4%3D%27LeRoy+W%2E+Jeffries%27+OR+maker5%3D%27LeRoy+W%2E+Jeffries%27&current_record=8
Gelatin silver print,Gift of Ida Walls Lee in memory of Vermont Jeffries,"The great Folk Singer, Josh White, came",http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CJeffries%5C9%2Ejpg,9.25 H x 13.75 W,LeRoy W. Jeffries,2004.2.9,http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+LeRoy+W%2E+Jeffries&whereclause=where+maker%3D%27LeRoy+W%2E+Jeffries%27+OR+cleanmaker%3D%27LeRoy+W%2E+Jeffries%27+OR+maker1%3D%27LeRoy+W%2E+Jeffries%27+OR+maker2%3D%27LeRoy+W%2E+Jeffries%27+OR+maker3%3D%27LeRoy+W%2E+Jeffries%27+OR+maker4%3D%27LeRoy+W%2E+Jeffries%27+OR+maker5%3D%27LeRoy+W%2E+Jeffries%27&current_record=9
Gelatin silver print,Gift of Ida Walls Lee in memory of Vermont Jeffries,"Father John LeFarge, S.J. (center) who has sinced passed. One of the founders of the Catholic Interracial Council.",http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CJeffries%5C10%2Ejpg,9.25 H x 13.5 W,LeRoy W. Jeffries,2004.2.10,http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+LeRoy+W%2E+Jeffries&whereclause=where+maker%3D%27LeRoy+W%2E+Jeffries%27+OR+cleanmaker%3D%27LeRoy+W%2E+Jeffries%27+OR+maker1%3D%27LeRoy+W%2E+Jeffries%27+OR+maker2%3D%27LeRoy+W%2E+Jeffries%27+OR+maker3%3D%27LeRoy+W%2E+Jeffries%27+OR+maker4%3D%27LeRoy+W%2E+Jeffries%27+OR+maker5%3D%27LeRoy+W%2E+Jeffries%27&current_record=10
Gelatin silver print,Gift of Ida Walls Lee in memory of Vermont Jeffries,Congressman Adam Clayton Powell and other Congressmen and dignitaries,http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CJeffries%5C11%2Ejpg,9.5 H x 13.75 W,LeRoy W. Jeffries,2004.2.11,http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+LeRoy+W%2E+Jeffries&whereclause=where+maker%3D%27LeRoy+W%2E+Jeffries%27+OR+cleanmaker%3D%27LeRoy+W%2E+Jeffries%27+OR+maker1%3D%27LeRoy+W%2E+Jeffries%27+OR+maker2%3D%27LeRoy+W%2E+Jeffries%27+OR+maker3%3D%27LeRoy+W%2E+Jeffries%27+OR+maker4%3D%27LeRoy+W%2E+Jeffries%27+OR+maker5%3D%27LeRoy+W%2E+Jeffries%27&current_record=11
Gelatin silver print,Gift of Ida Walls Lee in memory of Vermont Jeffries,"The articulate Senator from Minnesota, Hubert Humphrey, came",http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CJeffries%5C12%2Ejpg,9.25 H x 13.5 W,LeRoy W. Jeffries,2004.2.12,http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+LeRoy+W%2E+Jeffries&whereclause=where+maker%3D%27LeRoy+W%2E+Jeffries%27+OR+cleanmaker%3D%27LeRoy+W%2E+Jeffries%27+OR+maker1%3D%27LeRoy+W%2E+Jeffries%27+OR+maker2%3D%27LeRoy+W%2E+Jeffries%27+OR+maker3%3D%27LeRoy+W%2E+Jeffries%27+OR+maker4%3D%27LeRoy+W%2E+Jeffries%27+OR+maker5%3D%27LeRoy+W%2E+Jeffries%27&current_record=12
Gelatin silver print,Gift of Ida Walls Lee in memory of Vermont Jeffries,Walter Reuther came and made a point for labor,http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CJeffries%5C13%2Ejpg,9.5 H x 13.75 W,LeRoy W. Jeffries,2004.2.13,http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+LeRoy+W%2E+Jeffries&whereclause=where+maker%3D%27LeRoy+W%2E+Jeffries%27+OR+cleanmaker%3D%27LeRoy+W%2E+Jeffries%27+OR+maker1%3D%27LeRoy+W%2E+Jeffries%27+OR+maker2%3D%27LeRoy+W%2E+Jeffries%27+OR+maker3%3D%27LeRoy+W%2E+Jeffries%27+OR+maker4%3D%27LeRoy+W%2E+Jeffries%27+OR+maker5%3D%27LeRoy+W%2E+Jeffries%27&current_record=13
Gelatin silver print,Gift of Ida Walls Lee in memory of Vermont Jeffries,and the people began to assemble at the base of the Washington Monument,http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CJeffries%5C14%2Ejpg,9.5 H x 13.5 W,LeRoy W. Jeffries,2004.2.14,http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+LeRoy+W%2E+Jeffries&whereclause=where+maker%3D%27LeRoy+W%2E+Jeffries%27+OR+cleanmaker%3D%27LeRoy+W%2E+Jeffries%27+OR+maker1%3D%27LeRoy+W%2E+Jeffries%27+OR+maker2%3D%27LeRoy+W%2E+Jeffries%27+OR+maker3%3D%27LeRoy+W%2E+Jeffries%27+OR+maker4%3D%27LeRoy+W%2E+Jeffries%27+OR+maker5%3D%27LeRoy+W%2E+Jeffries%27&current_record=14
Gelatin silver print,Gift of Ida Walls Lee in memory of Vermont Jeffries,the Africans came,http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CJeffries%5C15%2Ejpg,9.25 x 13.5 W,LeRoy W. Jeffries,2004.2.15,http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+LeRoy+W%2E+Jeffries&whereclause=where+maker%3D%27LeRoy+W%2E+Jeffries%27+OR+cleanmaker%3D%27LeRoy+W%2E+Jeffries%27+OR+maker1%3D%27LeRoy+W%2E+Jeffries%27+OR+maker2%3D%27LeRoy+W%2E+Jeffries%27+OR+maker3%3D%27LeRoy+W%2E+Jeffries%27+OR+maker4%3D%27LeRoy+W%2E+Jeffries%27+OR+maker5%3D%27LeRoy+W%2E+Jeffries%27&current_record=15
Gelatin silver print,Gift of Ida Walls Lee in memory of Vermont Jeffries,"From Little RockDaisy Bates, came",http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CJeffries%5C16%2Ejpg,9.5 H x 13.75 W,LeRoy W. Jeffries,2004.2.16,http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+LeRoy+W%2E+Jeffries&whereclause=where+maker%3D%27LeRoy+W%2E+Jeffries%27+OR+cleanmaker%3D%27LeRoy+W%2E+Jeffries%27+OR+maker1%3D%27LeRoy+W%2E+Jeffries%27+OR+maker2%3D%27LeRoy+W%2E+Jeffries%27+OR+maker3%3D%27LeRoy+W%2E+Jeffries%27+OR+maker4%3D%27LeRoy+W%2E+Jeffries%27+OR+maker5%3D%27LeRoy+W%2E+Jeffries%27&current_record=16
