origin,credit_line,birth_year,death_year,nationality,Label_on_page,dates,name,title,technique,image_url,dimension
"Made in Canada, North and Central America","Gift of Umbra, Ltd., 1999",1960,0,Canadian(bornEgypt),"Its name a blend of Hollywood and garbage, the sculptural, translucent ""Garbo"" wastebasket that Rashid designed for Umbra in 1995 has also been used variously as a clothes hamper, flower vase, and champagne cooler. For Rashid, its highly tactile polypropylene material proved an excellent medium in which to explore ideas of dematerialization. ""You feel in a sense that there is very little there,"" he said of Garbo, ""yet it is so flexible that basically it's indestructible.""",1995,Designed by Karim Rashid,"""Garbo"" Can",Molded high-impact virgin polypropylene,http://www.philamuseum.org/images/cad/large/1999-107-3-neh.jpg,17 x 13 x 13 1/2 inches (43.2 x 33 x 34.3 cm)
"Made in Canada, North and Central America","Gift of Umbra, Ltd., 1999",1960,0,Canadian(bornEgypt),,1996,Designed by Karim Rashid,"""Garbino"" Can",Molded polypropylene,http://www.philamuseum.org/images/cad/large/1999-107-4-pma.jpg,13 x 10 x 10 1/2 inches (33 x 25.4 x 26.7 cm)
"Made in New York City, New York, United States, North and Central America","Gift of Jeanne S. Rymer, 2007",1909,2003,American,,1958,Designed by Erwine Laverne,"""Lotus"" Chair","Molded fiberglass, metal",http://www.philamuseum.org/images/cad/large/2007-186-34v1-cons.jpg,30 x 23 1/2 x 22 inches (76.2 x 59.7 x 55.9 cm)
"Made in New York, United States, North and Central America","Gift of Jeanne S. Rymer, 2007",1909,2003,American,,1957,Designed by Erwine Laverne,"""Lily Chair""","Molded Plexiglas, polyester upholstery",http://www.philamuseum.org/images/cad/large/2007-186-21v1-cons.jpg,36 1/2 x diam. 24 inches (92.7 x 61 cm)
"Photograph taken in Quebec, Gaspé, Canada, North and Central America",© Estate of Paul Strand,1890,1976,American,,1936,Paul Strand,"Boat Houses, Wolf River, Gaspé",Gelatin silver print,http://www.philamuseum.org/images/cad/large/2009-160-678-pdp.jpg,"Image: 3 5/8 x 4 5/8 inches (9.2 x 11.7 cm)
Sheet: 5 3/4 x 7 5/16 inches (14.6 x 18.6 cm)"
"Photograph taken in Quebec, Gaspé, Canada, North and Central America",© Estate of Paul Strand,1890,1976,American,,1936,Paul Strand,"Boat Houses, Wolf River, Gaspé",Gelatin silver print,http://www.philamuseum.org/images/cad/large/2009-160-677-pdp.jpg,"Image: 3 5/8 x 4 5/8 inches (9.2 x 11.7 cm)
Sheet: 5 11/16 x 6 3/4 inches (14.4 x 17.2 cm)"
"Photograph taken in Quebec, Gaspé, Canada, North and Central America",© Estate of Paul Strand,1890,1976,American,,1936,Paul Strand,"Boat House, Wolf River, Gaspé",Gelatin silver print,http://www.philamuseum.org/images/cad/large/2009-160-676-pdp.jpg,"Image: 4 5/8 x 5 7/8 inches (11.8 x 14.9 cm)
Sheet: 5 1/16 x 6 1/4 inches (12.9 x 15.9 cm)"
"Photograph taken in Quebec, Gaspé, Canada, North and Central America",© Estate of Paul Strand,1890,1976,American,,1936,Paul Strand,"Boat House, Wolf River, Gaspé",Gelatin silver print,http://www.philamuseum.org/images/cad/large/2010-14-28-pma.jpg,"Image: 7 1/2 x 9 5/8 inches (19 x 24.5 cm)
Sheet: 7 15/16 x 9 7/8 inches (20.1 x 25.1 cm)"
"Photograph taken in Quebec, Gaspé, Canada, North and Central America",© Estate of Paul Strand,1890,1976,American,,1936,Paul Strand,"Boat House, Wolf River, Gaspé",Gelatin silver print,http://www.philamuseum.org/images/cad/large/2009-160-675-pdp.jpg,"Image: 4 5/8 x 5 7/8 inches (11.8 x 14.9 cm)
Sheet (at longest point): 11 x 14 inches (27.9 x 35.5 cm)"
"Photograph taken in Quebec, Gaspé, Canada, North and Central America",© Estate of Paul Strand,1890,1976,American,,1936,Paul Strand,"Boat House, Wolf River, Gaspé",Gelatin silver print,http://www.philamuseum.org/images/cad/large/2009-160-674-pdp.jpg,"Image: 4 5/8 x 5 7/8 inches (11.8 x 14.9 cm)
Sheet (at longest point): 11 x 14 inches (27.9 x 35.5 cm)"
"Photograph taken in Quebec, Gaspé, Canada, North and Central America",© Estate of Paul Strand,1890,1976,American,,1936,Paul Strand,"Boat House, Wolf River, Gaspé",Gelatin silver print,http://www.philamuseum.org/images/cad/large/2009-160-673-pdp.jpg,"Image: 4 5/8 x 5 7/8 inches (11.8 x 14.9 cm)
Sheet (at longest point): 11 x 14 inches (27.9 x 35.5 cm)"
"Photograph taken in Percé, Quebec, Gaspé, Canada, North and Central America",© Estate of Paul Strand,1890,1976,American,,1929,Paul Strand,"Black Horse on the Beach, Percé, Gaspé",Gelatin silver print,http://www.philamuseum.org/images/cad/large/1980-21-80-pdp.jpg,Image (sight): 7 5/8 x 6 inches (19.4 x 15.2 cm)
"Photograph taken in Percé, Quebec, Gaspé, Canada, North and Central America",© Estate of Paul Strand,1890,1976,American,,1929,Paul Strand,"Beaching the Boat, Percé, Gaspé",Gelatin silver print,http://www.philamuseum.org/images/cad/large/2010-14-20-pma.jpg,Image and sheet: 3 7/8 x 6 1/2 inches (9.8 x 16.5 cm)
"Photograph taken in Percé, Quebec, Gaspé, Canada, North and Central America",© Estate of Paul Strand,1890,1976,American,,1929,Paul Strand,"Beaching the Boat, Percé, Gaspé",Gelatin silver print,http://www.philamuseum.org/images/cad/large/2010-14-19-pma.jpg,Image and sheet: 5 1/2 x 8 1/2 inches (13.9 x 21.6 cm)
"Photograph taken in Percé, Percé, Quebec, Gaspé, Canada, North and Central America",© Estate of Paul Strand,1890,1976,American,,1929,Paul Strand,"Beach, Percé, Gaspé",Gelatin silver print,http://www.philamuseum.org/images/cad/large/2009-160-16-pdp.jpg,"Image: 4 5/8 x 5 13/16 inches (11.8 x 14.7 cm)
Sheet: 4 15/16 x 7 inches (12.5 x 17.8 cm)"
"Photograph taken in Percé, Quebec, Gaspé, Canada, North and Central America",© Estate of Paul Strand,1890,1976,American,,1929,Paul Strand,"Beach, Percé, Gaspé",Gelatin silver print,http://www.philamuseum.org/images/cad/large/2010-14-21-pma.jpg,"Image: 8 1/8 x 6 7/8 inches (20.6 x 17.4 cm)
Sheet: 8 1/4 x 7 inches (21 x 17.8 cm)"
"Photograph taken in Louiseville, Quebec, Canada, North and Central America",© Estate of Paul Strand,1890,1976,American,,1936,Paul Strand,"Barns and Sheds, Louiseville, Quebec",Gelatin silver print,http://www.philamuseum.org/images/cad/large/1980-21-79-pma.jpg,Image (sight): 7 3/4 x 9 7/16 inches (19.7 x 24 cm)
"Made in United States, North and Central America","Gift of Collab: The Group for Modern and Contemporary Design at the Philadelphia Museum of Art in honor of Neil Sandvold and partial gift of Gary Kalpakjian, 2001",1925,0,American,"Gift of Collab: The Group for Modern and Contemporary Design at the Philadelphia Museum of Art in honor of Neil Sandvold and partial gift of Gary Kalpakjian, 2001",1989,Designed by Robert Venturi,Pair of Andirons,Wrought iron,"http://www.philamuseum.org/images/cad/large/2001-68-1a,b.jpg",32 x 21 x 23 inches (81.3 x 53.3 x 58.4 cm)
"Made in United States, North and Central America","Purchased with the Richardson Fund, 1986",1925,0,American,"In 1980, Venturi sent Alessi a proposal for this ""stylized traditional"" service, in which every piece was inspired by a silver form from a different historical period. Each was intended to be decorated according to its historical model and colored. ""You will see that I have kept the historical symbolism,"" Venturi wrote to Alessi, ""but made the aesthetic involve a more disparate eclecticism with a more or less Rococo coffee pot, a Queen Anne tea pot, a Neo-Classical sugar bowl and Art Nouveau cream pitcher. The Piazza Campidoglio remains the tray."" The service was introduced in 1983.",1980,Designed by Robert Venturi,Milk Pot from a Tea and Coffee Service,Silver with gilt decoration,http://www.philamuseum.org/images/cad/large/1986-15-3-ov.jpg,"4 3/4 x 4 13/16 x 2 3/4 inches (12 x 12.2 x 7 cm)
Weight: 10 ounces 16.5 dwt 5.5 g"
"Made in United States, North and Central America","Gift of Swid Powell and Reed & Barton, 1993",1925,0,American,,1992,Designed by Robert Venturi,Flatware,Stainless steel,http://www.philamuseum.org/images/cad/large/1993-141-1a--e-ov.jpg,"Length (Knife): 9 1/2 inches (24.1 cm)
Length (Fork): 8 inches (20.3 cm)
Length (Salad fork): 7 inches (17.8 cm)
Length (Teaspoon): 6 1/4 inches (15.9 cm)
Length (Soup spoon): 7 inches (17.8 cm)"
"Made in New York City, New York, United States, North and Central America","Gift of DesignTex Inc., 2000",1925,0,American,,1989,Designed by Robert Venturi,Gingham Floral Fabric,Cotton,http://www.philamuseum.org/images/cad/large/2000-84-2.jpg,54 x 144 inches (137.2 x 365.8 cm)
"Made in New York City, New York, United States, North and Central America","Gift of DesignTex Inc., 2000",1925,0,American,,1989,Designed by Robert Venturi,Raku Fabric,Cotton,http://www.philamuseum.org/images/cad/large/2000-84-1.jpg,Length: 144 inches (365.8 cm)
"Made in United States, North and Central America","Purchased with the Richardson Fund, 1986",1925,0,American,"In 1980, Venturi sent Alessi a proposal for this ""stylized traditional"" service, in which every piece was inspired by a silver form from a different historical period. Each was intended to be decorated according to its historical model and colored. ""You will see that I have kept the historical symbolism,"" Venturi wrote to Alessi, ""but made the aesthetic involve a more disparate eclecticism with a more or less Rococo coffee pot, a Queen Anne tea pot, a Neo-Classical sugar bowl and Art Nouveau cream pitcher. The Piazza Campidoglio remains the tray."" The service was introduced in 1983.",1980,Designed by Robert Venturi,Coffeepot from a Tea and Coffee Service,Silver with gilt decoration,"http://www.philamuseum.org/images/cad/large/1986-15-1a,b-ov.jpg","8 7/8 x 7 3/4 inches (22.6 x 19.7 cm)
Weight: 28 ounces 1 dwt"
"Made in United States, North and Central America","Gift of Robert Venturi, 1992",1925,0,American,,1989,Designed by Robert Venturi,Carving Set: Knife and Fork,Silver plate and stainless steel,"http://www.philamuseum.org/images/cad/large/1992-39-1a,b-ov.jpg","Knife (Length): 13 inches (33 cm)
Fork (Length): 10 inches (25.4 cm)"
"Made in United States, North and Central America","Gift of Swid Powell, 1993",1925,0,American,,1993,Designed by Robert Venturi,"Buffet Plate from the ""Flowers"" Service",Porcelain with overglaze transfer-printed decoration,http://www.philamuseum.org/images/cad/large/1993-140-1-neh.jpg,1 1/8 x 12 1/4 inches (2.9 x 31.1 cm)
"Made in United States, North and Central America","Gift of Collab: The Group for Modern and Contemporary Design at the Philadelphia Museum of Art, 1986",1925,0,American,"Venturi translated the carved ornament of an eighteenth-century Sheraton chair into a two-dimensional, stenciled pattern, producing a gentle parodya cartoon composition of elementary lines, shapes, and colors.",1978,Designed by Robert Venturi,"""Sheraton"" Chair","Bent laminated wood, plastic laminate with applied pattern, upholstery",http://www.philamuseum.org/images/cad/large/1986-152-1view3.jpg,"33 1/4 x 21 3/4 x 23 1/2 inches (84.5 x 55.2 x 59.7 cm)
Height (to seat): 17 inches (43.2 cm)"
"Made in Philadelphia, Pennsylvania, United States, North and Central America","Gift of Collab: The Group for Modern and Contemporary Design at the Philadelphia Museum of Art, 1987",1925,0,American,"Like the dashes in the Grandmother fabric, the Notebook pattern was inspired by standard stationers' supplies, but according to Denise Scott Brown, it evolved ""to look more like the black-and-white blobs on the covers of composition notebooks that American children use in school.""",1981,Designed by Robert Venturi,"""Notebook"" Fabric",Print on cotton,http://www.philamuseum.org/images/cad/large/1987-99-1.jpg,56 inches x 9 feet (142.2 x 274.3 cm)
"Made in United States, North and Central America","Gift of Collab: The Group for Modern and Contemporary Design at the Philadelphia Museum of Art, 1987",1925,0,American,"The Grandmother design was adapted from a flowered tablecloth that had belonged to an associate's grandmother. A pattern of black dashes, inspired by the conventional lining of business envelopes, was superimposed over the floral design. ""We wanted a pattern here that was explicitly pretty in its soft, curvy configurations and sweet combinations of colors,"" Venturi wrote, ""and represented as well something with nice associations, those of flowers. By juxtaposing the two patterns, the dashes and grandmother-tablecloth, we achieved design involving dramatic contrasts of scale, rhythm, color, and association.""",1981,Designed by Robert Venturi,"""Grandmother"" Fabric",Print on cotton,http://www.philamuseum.org/images/cad/large/1987-99-2.jpg,108 x 56 inches (274.3 x 142.2 cm)
"Made in United States, North and Central America","Gift of Marion Boulton Stroud, 1999",1925,0,American,"This chair was hand-painted by the Philadelphia artist R. Michael Wommack for the first public exhibition of the firm's Knoll furniture at the Knoll showroom in New York in May 1984. The allover design was adapted from an abstract, multicolored pattern by the Italian designer Paola Navone, who was inspired in its creation by television static.",1979,Designed by Robert Venturi,"""Gothic Revival"" Chair",Bent laminated wood and painted plastic laminate,http://www.philamuseum.org/images/cad/large/1999-158-1.jpg,40 3/4 x 20 1/4 x 23 inches (103.5 x 51.4 x 58.4 cm)
"Made in United States, North and Central America","Gift of Swid Powell, 1993",1925,0,American,,1993,Designed by Robert Venturi,"""Flowers"" Cup and Saucer",Porcelain with overglaze transfer-printed decoration,"http://www.philamuseum.org/images/cad/large/1993-140-3a,bderiv.jpg","Cup: 2 1/4 × 3 1/4 × 4 1/2 inches (5.7 × 8.3 × 11.4 cm)
Saucer: 6 1/4 inches (15.9 cm)"
"Made in United States, North and Central America","Gift of Swid Powell, 1993",1925,0,American,,1993,Designed by Robert Venturi,"""Flowers"" Dinner Plate",Porcelain with overglaze transfer-printed decoration,http://www.philamuseum.org/images/cad/large/1993-140-2.jpg,Diameter: 12 1/4 inches (31.1 cm)
"Made in New York City, New York, United States, North and Central America","Gift of DesignTex Inc., 2000",1925,0,American,,1989,Designed by Robert Venturi,"""Dots"" Fabric",Cotton,http://www.philamuseum.org/images/cad/large/2000-84-3.jpg,54 x 144 inches (137.2 x 365.8 cm)
"Photograph taken in Percé, Percé, Quebec, Gaspé, Canada, North and Central America",© Estate of Paul Strand,1890,1976,American,,1929,Paul Strand,"Boats on the Shore (Sails and Clouds), Percé, Gaspé",Gelatin silver print,http://www.philamuseum.org/images/cad/large/2009-160-15-pdp.jpg,"Image: 4 5/8 x 3 11/16 inches (11.8 x 9.3 cm)
Sheet: 4 15/16 x 4 inches (12.6 x 10.2 cm)"
"Made in United States, North and Central America","Gift of Mr. and Mrs. George Anselevicius, 1983",0,0,American.MadebyKnollTextiles,,1953,Designed by Evelyn Hill Anselevicius,Woven Textile,Wool plain weave,http://www.philamuseum.org/images/cad/large/1983-42-1-pma.jpg,58 x 35 3/4 inches (147.3 x 90.8 cm)
"Made in United States, North and Central America","Gift of Mr. and Mrs. George Anselevicius, 1983",0,0,American.MadebyKnollTextiles,,1951,Designed by Evelyn Hill Anselevicius,Woven Textile,"Wool, viscose, rayon, synthetic raffia",http://www.philamuseum.org/images/cad/large/1983-42-2-pma.jpg,104 x 35 inches (264.2 x 88.9 cm)
"Made in Boston, Massachusetts, United States, North and Central America","Gift of the Heirs of Samuel Breck, 1956",1742,1831,American,,1750,Made by Hannah Andrews,Coat of Arms of the Andrews Family,"Silk satin weave with silk and gilt thread embroidery in couching, stem, and encroaching satin stitches and laid work",http://www.philamuseum.org/images/cad/large/1956-68-42.jpg,21 x 19 inches (53.3 x 48.3 cm)
"Made in Mexico, North and Central America","or Spain, Europe",0,0,MexicanorSpanish,,1838,Teresa Alonso,Sampler,"Ivory linen plain weave with multicolored silk embroidery in cross, gobelin and satin stitches; pink silk satin ribbon; white silk braid with fringe",http://www.philamuseum.org/images/cad/large/2000-8-4-rec.jpg,19 1/2 x 19 inches (49.5 x 48.3 cm)
"Made in Concord, New Hampshire, United States, North and Central America","Whitman Sampler Collection, gift of Pet, Incorporated, 1969",0,0,American,,0,Embroidered by Hannah Abbott,Sampler,"Silk on canvas; cross, feather, and satin stitches",http://www.philamuseum.org/images/cad/large/1969-288-191-dept.jpg,13 x 12 1/2 inches (33 x 31.8 cm)
"Made in Philadelphia, Pennsylvania, United States, North and Central America","Gift of the McNeil Americana Collection, 2005",1745,1831,American(bornScotland),,1800,John Aitken,Creamer,Silver,http://www.philamuseum.org/images/cad/large/2005-68-1-ov.jpg,"6 5/8 x 4 7/8 inches (16.8 x 12.4 cm)
Diameter (of base): 2 5/8 inches (6.7 cm)
Weight: 5 ounces (0.14 kg)"
"Made in Philadelphia, Pennsylvania, United States, North and Central America","Purchased with Museum Funds, 1950",1745,1831,American(bornScotland),,1780,John Aitken,Cream Pot,Silver,http://www.philamuseum.org/images/cad/large/1950-12-3-ov.jpg,"5 x 5 3/16 inches (12.7 x 13.2 cm)
Weight: 7 ounces 10 dwt"
"Made in Taxco, Mexico, North and Central America","Bequest of Robert C. Alexander from the Dr. Frank Crozer Knowles Collection, 1988",1905,1986,Mexican(activeTaxco),,1940,Héctor Aguilar,Footed Dish,Silver,http://www.philamuseum.org/images/cad/large/1988-68-20-ov.jpg,2 x 8 7/8 x 5 3/16 inches (5.1 x 22.5 x 13.2 cm)
