Title,Artist,bornDate,diedDate,Classification,Medium,Dimension,Owner,AquisitionDate,Image,Description,DateOfWork,CreditLine
Charles Willson Peale Self-Portrait,Charles Willson Peale,1741,1827,Painting,Oil on canvas,"Frame: 84.8 x 72.1 x 7.3cm (33 3/8 x 28 3/8 x 2 7/8"") ","National Portrait Gallery, Smithsonian Institution",1989,http://npgportraits.si.edu/eMuseumNPG/media/previews/8900558A_1.jpg,"Born Queen Anne's County, Maryland  A creative and energetic force throughout the Revolutionary era and the early Republic, Charles Willson Peale moved to London in 1767 to study painting with Benjamin West. In 1769 he returned to Maryland, where he made portraits of landowners and their families before settling in Philadelphia in 1776. Peale, a militiaman and political figure, sided with radical factions during and after the Revolution, and painted portraits of national heroes in the fight for independence. His portrait gallery became a feature of his Philadelphia Museum-the nation's first significant museum of natural history-which opened to the public in 1786. His energy and abilities made him a sought-after painter of portraits of George Washington, a correspondent of Thomas Jefferson, and the leader of an expedition to exhume the skeleton of a mastodon. Members of his large family followed in his footsteps as artists, scientists, and museum entrepreneurs.",1791,"National Portrait Gallery, Smithsonian Institution; Frame conserved with funds from the Smithsonian Women's Committee"
Rembrandt Peale,Charles Willson Peale,1741,1827,Painting,Oil on canvas,"68.6cm x 52.7cm (27"" x 20 3/4""), Accurate ","National Portrait Gallery, Smithsonian Institution",1982,http://npgportraits.si.edu/eMuseumNPG/media/previews/8200116A_1.jpg,,1818,"National Portrait Gallery, Smithsonian Institution; gift of Donald Hamilton Workman in memory of his father, James Clark Workman, and his grandfather, James Henry Workman"
"Richard Alexander F. Penrose, Jr.",Albert Rosenthal,1863,1939,Painting,Oil on canvas,"77cm x 63.5cm (30 5/16"" x 25""), Accurate ","National Portrait Gallery, Smithsonian Institution",1967,http://npgportraits.si.edu/eMuseumNPG/media/previews/6700118a.jpg,,0,"National Portrait Gallery, Smithsonian Institution; gift of Mrs. Andrew Van Pelt"
Richard Alexander Penrose,Julian Russell Story,1857,1919,Painting,Oil on canvas,"152.4cm x 101.6cm (60"" x 40""), Accurate ","National Portrait Gallery, Smithsonian Institution",1969,http://npgportraits.si.edu/eMuseumNPG/media/previews/6910030a.jpg,,1919,"National Portrait Gallery, Smithsonian Institution; gift of Mrs. Martin Beaver"
John Wesley Powell,Edmund Clarence Messer,1842,1919,Painting,Oil on canvas,"Stretcher: 120.3 x 95.9 x 2.5cm (47 3/8 x 37 3/4 x 1"") Frame: 151.1 x 126 x 10.5cm (59 1/2 x 49 5/8 x 4 1/8"") ","National Portrait Gallery, Smithsonian Institution",1970,http://npgportraits.si.edu/eMuseumNPG/media/previews/7000034a.jpg,"John Wesley Powell's work as an explorer, geologist, and anthropologist in the American West helped to shape national policies on a host of issues, including the status of native peoples and the development of public lands. Although he was celebrated for leading the first American exploring expedition through the Grand Canyon in 1869, his greater contribution came from his scientific reports on western lands and the peoples living there, many of which contradicted long-held beliefs. His advocacy of communal or government control of water for irrigation in the West was derided at the time, yet his studies served as the foundation for twentieth-century water-use policies. As director of both the U.S. Geological Survey and the U.S. Bureau of Ethnology, Powell saw science as a vital force in promoting the common good. ",1889,"National Portrait Gallery, Smithsonian Institution; transfer from the Smithsonian American Art Museum; gift of Mrs. John Wesley Powell, 1906"
Paul Goodwin Redington,William N. Dovener,1870,1954,Painting,Oil on canvas,"111.8cm x 91.5cm (44"" x 36""), Accurate ","National Portrait Gallery, Smithsonian Institution",1965,http://npgportraits.si.edu/eMuseumNPG/media/previews/6510148a.jpg,,1931,"National Portrait Gallery, Smithsonian Institution; transfer from the National Archives"
Samuel Ringgold,John Vanderlyn,1775,1852,Painting,Oil on canvas,"Frame: 96.5 x 83.2 x 5.7cm (38 x 32 3/4 x 2 1/4"") ","National Portrait Gallery, Smithsonian Institution",1996,http://npgportraits.si.edu/eMuseumNPG/media/previews/9600186A_1.jpg,,1825,"National Portrait Gallery, Smithsonian Institution; gift of the William Woodville Estate"
S. Dillon Ripley,Albert Ketcham Murray,1906,1992,Painting,Oil on canvas,"91.5 x 76.2 cm (36 x 30"") ","National Portrait Gallery, Smithsonian Institution",2011,http://npgportraits.si.edu/eMuseumNPG/media/previews/83l0004a.jpg,,1968,"National Portrait Gallery, Smithsonian Institution"
David Rittenhouse,Charles Willson Peale,1741,1827,Painting,Oil on canvas,"Sight: 124.5 x 100.3 x 2.5cm (49 x 39 1/2 x 1"") Frame: 147.3 x 121.9 x 8.9cm (58 x 48 x 3 1/2"") ","National Portrait Gallery, Smithsonian Institution",1998,http://npgportraits.si.edu/eMuseumNPG/media/previews/9800146a.jpg,"A clockmaker by trade and a self-taught mathematician and astronomer, David Rittenhouse was second only to Benjamin Franklin as the foremost man of science in eighteenth-century America. His surveying instruments were unsurpassed; his astronomical calculations were solicited by almanac publishers near and far; and his orrery (a mathematically precise model of the solar system) was touted as the greatest mechanical wonder of the new world, more complete than anything that could be obtained in Europe. Rittenhouse's name, said physician and patriot Dr. Benjamin Rush, ""gave splendor to the American character."" 	Charles Willson Peale painted his friend (and collaborator in experiments to improve rifles during the Revolution) seated before a large reflecting telescope-perhaps the one bequeathed to him by Benjamin Franklin-pointing to a comet in orbit. ",1796,"National Portrait Gallery, Smithsonian Institution; bequest of Stanley P. Sax"
Solomon White Roberts,Manuel Joachim de Franca,1808,1865,Painting,Oil on canvas,"76.2cm x 63.5cm (30"" x 25"") ","National Portrait Gallery, Smithsonian Institution",1992,http://npgportraits.si.edu/eMuseumNPG/media/previews/9200202a.jpg,,1835,"National Portrait Gallery, Smithsonian Institution; partial gift of Lucia Howe Snow"
Thomas Say,Joseph Wood,1778,1830,Painting,Oil on wood,"23cm x 17cm (9 1/16"" x 6 11/16""), Accurate ","National Portrait Gallery, Smithsonian Institution",1972,http://npgportraits.si.edu/eMuseumNPG/media/previews/7200214a.jpg,,1812,"National Portrait Gallery, Smithsonian Institution"
Alan Shepard,Everett Raymond Kinstler,1926,0,Painting,Oil on board,"61cm x 50.9cm (24"" x 20 1/16"") ","National Portrait Gallery, Smithsonian Institution",1992,http://npgportraits.si.edu/eMuseumNPG/media/previews/9200168a.jpg,,1965,"National Portrait Gallery, Smithsonian Institution; gift of Everett Raymond Kinstler"
Benjamin Silliman,John Trumbull,1756,1843,Painting,Oil on wood,"Panel: 48.9 x 40 x 1.3cm (19 1/4 x 15 3/4 x 1/2"") Frame: 67.3 x 58.4 x 8.3cm (26 1/2 x 23 x 3 1/4"") ","National Portrait Gallery, Smithsonian Institution",1968,http://npgportraits.si.edu/eMuseumNPG/media/previews/6800012A_1.jpg,"Appointed Yale College's first professor of chemistry and natural history in 1802, Benjamin Silliman (trained in the law) went to Philadelphia, London, and Edinburgh for exposure to the world of science. Over the next fifty years, Silliman became renowned as an educator, influential as the founder and editor of the American Journal of Science and a popular national figure on the lecture circuit, entertaining audiences with drawings and demonstrations and providing assurances that discoveries in science need not threaten biblical teachings. Silliman's portrait was painted in New York, where he was engaged in the fatiguing work of raising money to keep the finest mineral collection in America at Yale. He posed before breakfast-at six o'clock in the morning-for one and a half hours, and recorded that John Trumbull, his friend and uncle by marriage, ""painted very rapidly."" ",1825,"National Portrait Gallery, Smithsonian Institution; gift of Alice Silliman Hawkes"
Isaac Merrit Singer,Edward Harrison May,1824,1887,Painting,Oil on canvas,"Stretcher: 130.8 x 98.7 x 3.2cm (51 1/2 x 38 7/8 x 1 1/4"") Frame: 144.8 x 112.4 x 6.7cm (57 x 44 1/4 x 2 5/8"") ","National Portrait Gallery, Smithsonian Institution",1975,http://npgportraits.si.edu/eMuseumNPG/media/previews/7500074a.jpg,"An actor turned inventor, Isaac Singer democratized clothing production with the sewing machine he patented in 1851. Although not the first (Elias Howe introduced a design in 1846), Singer's machine was more reliable and capable of continuous stitching. Hailed two years after its appearance as ""one of the most efficient labor-saving devices ever introduced to public notice,"" Singer's machine could sew 900 stitches per minute, more than twenty times as many as a skilled seamstress. Aiming the product at women and putting it within reach of a wide range of buyers, Singer and his business partner Edward Clark established an international commercial empire. Singer commissioned this portrait while living in Paris, after scandals about his private life forced him to relocate to Europe. American artist Edward Harrison May painted him in clothing that reflects his wealth and trademark extravagance. ",1869,"National Portrait Gallery, Smithsonian Institution; gift of the Singer Company"
Erwin Frink Smith,William N. Dovener,1870,1954,Painting,Oil on canvas,"111.8cm x 91.5cm (44"" x 36""), Accurate ","National Portrait Gallery, Smithsonian Institution",1965,http://npgportraits.si.edu/eMuseumNPG/media/previews/6510126a.jpg,,1931,"National Portrait Gallery, Smithsonian Institution; transfer from the National Archives"
James Smithson,James Roberts,1753,1809,Painting,Oil on canvas,"Frame: 59.7 x 47 x 7.6cm (23 1/2 x 18 1/2 x 3"") ","National Portrait Gallery, Smithsonian Institution",1996,http://npgportraits.si.edu/eMuseumNPG/media/previews/9600056a.jpg,,1786,"National Portrait Gallery, Smithsonian Institution"
James Smithson,Hattie Elizabeth Burdette,1872,1955,Painting,Oil on canvas,"50.8cm x 40.6cm (20"" x 16""), Accurate ","National Portrait Gallery, Smithsonian Institution",1966,http://npgportraits.si.edu/eMuseumNPG/media/previews/6610066a.jpg,,0,"National Portrait Gallery, Smithsonian Institution; transfer from the Smithsonian American Art Museum"
James Smithson,Henri-Joseph Johns,1761,1843,Painting,Gouache on ivory,"Other (Accurate): 7.6 x 7cm (3 x 2 3/4"") Frame (with hanging hook): 13.8 x 11.7cm (5 7/16 x 4 5/8"") ","National Portrait Gallery, Smithsonian Institution",1985,http://npgportraits.si.edu/eMuseumNPG/media/previews/8500088A_1.jpg,"Probably born in France   Englishman James Smithson commissioned this forthright portrait from a Belgian artist working in present-day Aachen, possibly as a gift for a family member. Always painfully aware of his uncertain status as an illegitimate child of the Duke of Northumberland, he focused on his scientific publishing in chemistry and mineralogy. In 1826 he penned his most unusual will, providing for the establishment of the 鈥淪mithsonian Institution, an Establishment for the increase & diffusion of knowledge among men.鈥?",1816,
Edwin Augustus Stevens,Manuel Joachim de Franca,1808,1865,Painting,Oil on canvas,"76.2cm x 63.5cm (30"" x 25""), Accurate ","National Portrait Gallery, Smithsonian Institution",1975,http://npgportraits.si.edu/eMuseumNPG/media/previews/7500024a.jpg,,1843,"National Portrait Gallery, Smithsonian Institution; gift of H.H. Walker Lewis in memory of his parents, Mr. and Mrs. Edwin A.S. Lewis"
Robert Livingston Stevens,Edward Ludlow Mooney,1813,1887,Painting,Oil on canvas,"76cm x 63.5cm (29 15/16"" x 25""), Accurate ","National Portrait Gallery, Smithsonian Institution",1975,http://npgportraits.si.edu/eMuseumNPG/media/previews/7500028a.jpg,,1852,"National Portrait Gallery, Smithsonian Institution; gift of H.H. Walker Lewis in memory of his parents, Mr. and Mrs. Edwin A.S. Lewis"
Warner W. Stockberger,William N. Dovener,1870,1954,Painting,Oil on canvas,"111.8cm x 92.1cm (44"" x 36 1/4""), Accurate ","National Portrait Gallery, Smithsonian Institution",1965,http://npgportraits.si.edu/eMuseumNPG/media/previews/6510130a.jpg,,1932,"National Portrait Gallery, Smithsonian Institution; transfer from the National Archives"
William Alton Taylor,William N. Dovener,1870,1954,Painting,Oil on canvas,"112.1cm x 91.8cm (44 1/8"" x 36 1/8""), Accurate ","National Portrait Gallery, Smithsonian Institution",1965,http://npgportraits.si.edu/eMuseumNPG/media/previews/6510138a.jpg,,1932,"National Portrait Gallery, Smithsonian Institution; transfer from the National Archives"
Charles Doolittle Walcott,Hattie Elizabeth Burdette,1872,1955,Painting,Oil on canvas,"75.5cm x 62.8cm (29 3/4"" x 24 3/4""), Accurate ","National Portrait Gallery, Smithsonian Institution",1979,http://npgportraits.si.edu/eMuseumNPG/media/previews/7910128a.jpg,,1925,"National Portrait Gallery, Smithsonian Institution; transfer from the Smithsonian American Art Museum"
Charles Doolittle Walcott,Samantha Littlefield Huntley,1865,1949,Painting,Oil on canvas,"106.7cm x 116.9cm (42"" x 46""), Accurate ","National Portrait Gallery, Smithsonian Institution",1967,http://npgportraits.si.edu/eMuseumNPG/media/previews/6710218a.jpg,,1928,"National Portrait Gallery, Smithsonian Institution; transfer from the Smithsonian American Art Museum; gift of Samantha L. Huntley, 1928"
Charles Doolittle Walcott,Edwin Walter Dickinson,1891,1978,Painting,Oil on canvas,"43.8cm x 33cm (17 1/4"" x 13""), Accurate ","National Portrait Gallery, Smithsonian Institution",1970,http://npgportraits.si.edu/eMuseumNPG/media/previews/7010010a_1.jpg,,1924,"National Portrait Gallery, Smithsonian Institution; transfer from the Smithsonian American Art Museum; gift of Edwin W. Dickinson, 1969"
Henry A. Wallace,Ernest Hamlin Baker,1889,1975,Painting,Gouache on board,"27.9cm x 25.1cm (11"" x 9 7/8"") ","National Portrait Gallery, Smithsonian Institution",1996,http://npgportraits.si.edu/eMuseumNPG/media/previews/96T0066A_1.jpg,,1948,"National Portrait Gallery, Smithsonian Institution"
Washington after the Battle of Princeton,Charles Willson Peale,1741,1827,Painting,Oil on canvas,"236.2cm x 148.1cm (93"" x 58 5/16""), Sight ",Pennsylvania Academy of the Fine Arts,1943,http://npgportraits.si.edu/eMuseumNPG/media/previews/pa290499a.jpg,,1779,Pennsylvania Academy of the Fine Arts
Washington after the Battle of Princeton,Charles Willson Peale,1741,1827,Painting,Oil on ticking,"244.5cm x 156.9cm (96 1/4"" x 61 3/4""), Sight ",Colonial Williamsburg,1933,http://npgportraits.si.edu/eMuseumNPG/media/previews/va060061.jpg,,1780,Colonial Williamsburg
Washington at Verplanck's Point,John Trumbull,1756,1843,Painting,Oil on canvas,"76.2cm x 51.1cm (30"" x 20 1/8""), Accurate ",Winterthur Museum,1964,http://npgportraits.si.edu/eMuseumNPG/media/previews/de070094.jpg,,1790,Winterthur Museum
Washington at Yorktown,Charles Willson Peale,1741,1827,Painting,Oil on canvas,"89.9cm x 70cm (35 3/8"" x 27 9/16""), Sight ",Lafayette College,1945,http://npgportraits.si.edu/eMuseumNPG/media/previews/pa220143.jpg,,1779,Lafayette College
Washington in Conference with Representatives of Six Nations,Junius Brutus Stearns,1810,1885,Painting,Oil on canvas,"Sight: 93.5cm x 123.9cm (36 13/16"" x 48 3/4""), Accurate ",Gilcrease Museum,0,http://npgportraits.si.edu/eMuseumNPG/media/previews/ok020472.jpg,,0,
George Washington,Archibald Robertson,1765,1835,Painting,Watercolor on ivory,"6.4cm x 5.4cm (2 1/2"" x 2 1/8""), Sight ",Colonial Williamsburg,1956,http://npgportraits.si.edu/eMuseumNPG/media/previews/va060062.jpg,,1791,"The Colonial Williamsburg Foundation, Virginia"
George Washington (Athenaeum type),Gilbert Stuart,1755,1828,Painting,Oil on wood,"64.2cm x 53.5cm (25 1/4"" x 21 1/16""), Sight ",Washington & Lee University,1875,http://npgportraits.si.edu/eMuseumNPG/media/previews/va150051_1.jpg,,1812,"Mercer Collection, Washington and Lee University, Lexington, Virginia"
George Washington (Hancock type),Charles Willson Peale,1741,1827,Painting,Oil on canvas,"112cm x 97.8cm (44 1/8"" x 38 1/2""), Accurate ",Brooklyn Museum of Art,1934,http://npgportraits.si.edu/eMuseumNPG/media/previews/ny100284.jpg,,1776,Brooklyn Museum of Art
George Washington (Porthole type),Rembrandt Peale,1778,1860,Painting,Oil on canvas,"Sight: 89.5 x 71.9cm (35 1/4 x 28 5/16"") Frame: 117.5 x 99.9 x 10.6cm (46 1/4 x 39 5/16 x 4 3/16"") ","National Portrait Gallery, Smithsonian Institution",1975,http://npgportraits.si.edu/eMuseumNPG/media/previews/2k75008a.jpg,"Rembrandt Peale, son of American artist Charles Willson Peale, painted George Washington from life in 1795 when he was seventeen. He later made numerous portraits of the president based on his memory of this sitting and on likenesses by other artists. From these he developed an idealized image-known by the Latin name ""Patriae Pater"" (Father of His Country)-which served as a model for his many so-called ""porthole"" portraits of Washington. In these compositions, the subject's face is seen through an oval stonework frame-an honorific convention in European art dating from the Renaissance.",1853,"National Portrait Gallery, Smithsonian Institution; gift of an anonymous donor"
George Washington,Rembrandt Peale,1778,1860,Painting,Oil on canvas,"Stretcher: 75.6 x 64.5 x 3.2cm (29 3/4 x 25 3/8 x 1 1/4"") Frame: 94.9 x 83.8 x 9.5cm (37 3/8 x 33 x 3 3/4"") ","National Portrait Gallery, Smithsonian Institution",1965,http://npgportraits.si.edu/eMuseumNPG/media/previews/6500106A_1.jpg,"When Americans chose their first president under the new Constitution of 1788, George Washington's election was a foregone conclusion. But despite Washington's prestige, his presidency had its critics. Toward the end of his administration, one newspaper branded him a ""scourge and misfortune."" This portrait shows some of the stress that even our first president felt under the burden of the office. Even under attack, however, Washington's firm leadership gave credibility to the new federal government and assured its survivability. Young Rembrandt Peale, then seventeen, was so nervous about painting Washington that his artist father, Charles Willson Peale, had to come along to the sittings to soothe his son's jangled nerves. The younger Peale made several replicas of his resulting portrait, including this version.",1795,"National Portrait Gallery, Smithsonian Institution; transfer from the National Gallery of Art; gift of the A.W. Mellon Educational and Charitable Trust, 1942"
George Washington,Charles Willson Peale,1741,1827,Painting,Watercolor on ivory,"4.3cm x 3.5cm (1 11/16"" x 1 3/8"") ",Mount Vernon Ladies' Association,1920,http://npgportraits.si.edu/eMuseumNPG/media/previews/va290058.jpg,,1776,Mount Vernon Ladies Association
George Washington,Robert Edge Pine,1720,1788,Painting,Oil on canvas,"Sight: 90.2 x 69.9cm (35 1/2 x 27 1/2"") Frame: 101.6 x 81.6 x 6.4cm (40 x 32 1/8 x 2 1/2"") ","National Portrait Gallery, Smithsonian Institution",1980,http://npgportraits.si.edu/eMuseumNPG/media/previews/8000032A_1.jpg,"George Washington, appointed commander-in-chief of the Continental army, took command of a ragtag force of some 17,000 men in July 1775. He kept an army together for the next eight-and-a-half years-losing more battles than he won-but effectively ended the war with his victory at Yorktown in October 1781. Mission accomplished, Washington-a hero who could have been king-resigned his military commission before Congress on December 23, 1783, and retired to Mount Vernon. Here, the man all artists yearned to portray posed in his Continental army uniform for English artist Robert Edge Pine and wryly observed, ""I am so hackneyed to the touches of the Painter's pencil, that I am now altogether at their beck, and sit like patience on a Monument.""",1785,"National Portrait Gallery, Smithsonian Institution"
George Washington (Trenton type),Charles Willson Peale,1741,1827,Painting,Oil on canvas,"127.6cm x 108.6cm (50 1/4"" x 42 3/4"") ",Mount Vernon Ladies' Association,1927,http://npgportraits.si.edu/eMuseumNPG/media/previews/va290051.jpg,,1780,Mount Vernon Ladies Association
George Washington (Athenaeum type),Gilbert Stuart,1755,1828,Painting,Oil on panel,"64.1cm x 53.3cm (25 1/4"" x 21""), Accurate ","Museum of Fine Arts, Boston",1929,http://npgportraits.si.edu/eMuseumNPG/media/previews/ma320474_2.jpg,,1810,
George Washington,Robert Edge Pine,1720,1788,Painting,Oil on canvas,"Sight: 89.3 x 72.5cm (35 3/16 x 28 9/16"") ",Independence National Historical Park,1886,http://npgportraits.si.edu/eMuseumNPG/media/previews/pa300381.jpg,,1785,Independence National Historical Park
George Washington,James Sharples,1751,1811,Painting,Pastel on paper,"22.5cm x 16.9cm (8 7/8"" x 6 5/8""), Sight ",Wadsworth Atheneum,1848,http://npgportraits.si.edu/eMuseumNPG/media/previews/ct240214.jpg,,1796,Wadsworth Atheneum
George Washington (Lansdowne Portrait),Gilbert Stuart,1755,1828,Painting,Oil on canvas,"Stretcher: 247.6 x 158.7cm (97 1/2 x 62 1/2"") Frame: 283.5 x 194.3 x 17.8cm (111 5/8 x 76 1/2 x 7"") ","National Portrait Gallery, Smithsonian Institution",2001,http://npgportraits.si.edu/eMuseumNPG/media/previews/A1000026A_1.jpg,"As the general who led us to victory in the American Revolution and as our first president, George Washington was often painted and sculpted. Everyone, it seemed, wanted the hero's portrait. But it is this portrait that stands for all time as the image that best represents what Washington meant to us when we were a new nation and continues to mean to us in the twenty-first century. It is the one picture that we can say ranks in importance with those sacred founding documents, the Declaration of Independence, the Constitution and the Bill of Rights. 	We see Washington in 1796, the last year of his two-term presidency. Earlier full-length portraits show him in military uniform, but here he is in civilian dress, revealing that in our democracy the elected executive is the true commander-in-chief. Standing in elegant surroundings suggesting the grandeur of European tradition, Washington is nonetheless not draped like a king, which he refused to be; he is a man powerful only by the people's consent. This was the man who told us what this new kind of leader-an elected president-could be and whose maturity and resolve gave us confidence in our future. The rainbow behind him breaks through a stormy sky. 	Washington was lucky in his portraitist, and so are we. American-born Gilbert Stuart had eighteen years in Europe to hone his artistry. He was commissioned by Senator and Mrs. William Bingham of Pennsylvania to provide a gift to the Marquis of Lansdowne, an English supporter of American independence. It was copied by Stuart and others as THE image of Washington who sustains our national purpose-the Washington every generation of Americans needs to rediscover.Gilbert Stuart (1755-1828)",1796,"National Portrait Gallery, Smithsonian Institution; acquired as a gift to the nation through the generosity of the Donald W. Reynolds Foundation"
George Washington,Charles Peale Polk,1767,1822,Painting,Oil on Canvas,"68.8 x 59 cm (27 1/16 x 23 1/4"" ) ",Maryland Historical Society,0,http://npgportraits.si.edu/eMuseumNPG/media/previews/md190038_2.jpg,,1800,"The Maryland Historical Society, Baltimore, Maryland"
George Washington (Vaughan type),Gilbert Stuart,1755,1828,Painting,Oil on canvas,"73.7cm x 61.6cm (29"" x 24 1/4""), Sight ",Colonial Williamsburg,1950,http://npgportraits.si.edu/eMuseumNPG/media/previews/va060063.jpg,,1795,Colonial Williamsburg
George Washington (The Athenaeum Portrait),Gilbert Stuart,1755,1828,Painting,Oil on canvas,"121.9cm x 94cm (48"" x 37""), Accurate ",,1980,http://npgportraits.si.edu/eMuseumNPG/media/previews/8000230A.jpg,"American artist Gilbert Stuart was commissioned to paint this portrait after the success of his first portrait of Washington in 1795. Martha Washington convinced the president to sit again because, according to artist Rembrandt Peale, she ""wished a Portrait for herself; he therefore consented on the express condition that when finished it should be hers."" Stuart, however, preferred this portrait to his earlier Washington; he purposely left it and that of the first lady unfinished so that he could use this as a model for the numerous copies that the first president's admirers commissioned. After Stuart's death, the two paintings were purchased for the Boston Athenaeum, which owned them for more than 150 years.  This image served as the basis for the engraving of Washington on the one-dollar bill. John Neal, an early-nineteenth-century writer and art critic, wrote: ""Though a better likeness of him were shown to us, we should reject it; for, the only idea that we now have of George Washington, is associated with Stuart's Washington.""",1796,"National Portrait Gallery, Smithsonian Institution; owned jointly with Museum of Fine Arts, Boston"
George Washington (Half-length of 1787 type),Charles Willson Peale,1741,1827,Painting,Oil on canvas,"91.1cm x 73.2cm (35 7/8"" x 28 13/16""), Sight ",Indianapolis Museum of Art,1953,http://npgportraits.si.edu/eMuseumNPG/media/previews/in050123.jpg,,1778,Indianapolis Museum of Art
George Washington (Bust length of 1787 type),Charles Willson Peale,1741,1827,Painting,Oil on canvas,"59.7cm x 48.3cm (23 1/2"" x 19""), Sight ",Pennsylvania Academy of the Fine Arts,1912,http://npgportraits.si.edu/eMuseumNPG/media/previews/pa290500s.jpg,,1787,Pennsylvania Academy of the Fine Arts
George Washington,Charles Willson Peale,1741,1827,Painting,Oil on canvas,"Sight: 73.7cm x 60.9cm (29"" x 24""), Accurate ",Gilcrease Museum,1963,http://npgportraits.si.edu/eMuseumNPG/media/previews/ok020467.jpg,,0,
George Washington (Athenaeum type),Gilbert Stuart,1755,1828,Painting,Oil on panel,"66.7cm x 54cm (26 1/4"" x 21 1/4""), Accurate ","Museum of Fine Arts, Boston",1942,http://npgportraits.si.edu/eMuseumNPG/media/previews/ma320475_2.jpg,,1805,"Museum of Fine Arts, Boston"
George Washington,Rembrandt Peale,1778,1860,Painting,Oil on canvas,"Sight: 74.6cm x 62.2cm (29 3/8"" x 24 1/2""), Accurate ",Gilcrease Museum,1955,http://npgportraits.si.edu/eMuseumNPG/media/previews/ok020473.jpg,,1795,
Alexander Wetmore,Albert Ketcham Murray,1906,1992,Painting,Oil on canvas,"91.4cm x 66cm (36"" x 26""), Accurate ","National Portrait Gallery, Smithsonian Institution",1979,http://npgportraits.si.edu/eMuseumNPG/media/previews/7910129a.jpg,,1959,"National Portrait Gallery, Smithsonian Institution; transfer from the Smithsonian American Art Museum"
David Wiley,Charles Peale Polk,1767,1822,Painting,Oil on canvas,"Sight: 90.2 x 64.8cm (35 1/2 x 25 1/2"") Frame: 111.8 x 83.8 x 8.9cm (44 x 33 x 3 1/2"") ","National Portrait Gallery, Smithsonian Institution",1987,http://npgportraits.si.edu/eMuseumNPG/media/previews/8700488A_1.jpg,,1800,"National Portrait Gallery, Smithsonian Institution"
Edward O. Wilson,Jennie Summerall,1959,0,Painting,Oil on canvas,"Stretcher: 147 x 116.8cm (57 7/8 x 46"") Frame: 152.1 x 121.9 x 4.4cm (59 7/8 x 48 x 1 3/4"") ","National Portrait Gallery, Smithsonian Institution",2007,http://npgportraits.si.edu/eMuseumNPG/media/previews/A7000008A.jpg,"Born Birmingham, Alabama  Biologist Edward O. Wilson-two-time winner of the Pulitzer Prize for general nonfiction-has been a leader of the biodiversity movement since the 1980s. Trained as an entomologist specializing in ant biology, Wilson has ranged from New Guinea and Sri Lanka to the Smithsonian Institution for his work. His groundbreaking Sociobiology: The New Synthesis (1975) was a controversial study that examined the biological basis of social behavior in all kinds of organisms, including vertebrates, with links to evolutionary biology. A hallmark of his later work has been an attempt to bridge the gap between science and the culture at large, as in Consilience: The Unity of Life (1998).  	Artist Jennie Summerall posed Wilson in a setting reminiscent of the landscape on Lignum Vitae Key in Florida, which he helped preserve. Based on photographic images, the painting references Wilson's earlier studies on ant populations, while depicting him as he looks today.",2006,"National Portrait Gallery, Smithsonian Institution"
Samuel Washington Woodhouse,Edward Bowers,1822,1870,Painting,Oil on canvas,"61cm x 51cm (24"" x 20 1/16""), Accurate ","National Portrait Gallery, Smithsonian Institution",1972,http://npgportraits.si.edu/eMuseumNPG/media/previews/7200054a_1.jpg,,1857,"National Portrait Gallery, Smithsonian Institution"
Zachary Taylor at Walnut Springs,William Garl Browne Jr.,1823,1894,Painting,Oil on canvas mounted on wood,"Object: 74.3 x 92.1 x 0.3cm (29 1/4 x 36 1/4 x 1/8"") Frame: 97.2 x 115.3 x 11.4cm (38 1/4 x 45 3/8 x 4 1/2"") ","National Portrait Gallery, Smithsonian Institution",1971,http://npgportraits.si.edu/eMuseumNPG/media/previews/7100108a.jpg,"Career army officer Zachary Taylor vaulted to national prominence as the hero of the Mexican War. Stationed in the Southwest, Taylor had anticipated war, and when conflict broke out with Mexico he was able to quickly cross the Rio Grande in a campaign that culminated in the defeat of General Santa Anna at Buena Vista in 1847. This painting shows Taylor with his staff at Walnut Creek, Texas, just as hostilities broke out. The Polk administration distrusted Taylor, an outspoken Whig, fearing he would use his military career for political ends. But they could not deny the appeal of a victorious general, and Taylor was elected president in 1849 as a symbol of national unity. Sectional differences over slavery were proving intractable, however, and Taylor had a short, unhappy term as president, dying amid negotiations over the Compromise of 1850. ",1847,"National Portrait Gallery, Smithsonian Institution"
