title,sourceURL,imageURL,artist,nationality,birthDate,deathDate,materials,dimensions,creditLine,creationDate,galleryLabel,provenance
Portrait of Dr. George Henry Alexander Clowes,http://www.imamuseum.org/art/collections/artwork/portrait-dr-george-henry-alexander-clowes-pezzati-pietro,http://www.imamuseum.org/sites/default/files/mercurycache/4_column/mars/2d/2dbb096e-8c57-42dd-a3b8-0c7cecf0c221.jpg,"Pezzati, Pietro",American,1902,1993,oil on canvas,55 1/4 x 42 1/2 in. (framed),Courtesy of The Clowes Fund,0,,
Scene on the Wabash,http://www.imamuseum.org/art/collections/artwork/scene-wabash-winter-george,http://www.imamuseum.org/sites/default/files/mercurycache/4_column/mars/af/af7d1c38-e9c7-418f-a995-af1b96d24e90.jpg,"Winter, George",American,1810,1876,oil on canvas,,"Bequest of Judge Paul H. Buchanan, Jr.",1848,"Here, a group of Potawatomi Indians gather next to the Wabash River. The figures are posed in a casual setting, reflecting Winter’s goal to record the daily life and customs of these people.
Winter was born in England and came to America in 1830 to study in New York. In 1837 he moved to Logansport, Indiana.",The artist Blackburn family San Francisco Blackburn Estate (Atelier Dore San Francisco) (Gerald Peters Gallery Jackson Hole Wyoming) Paul H. Buchanan Jr. [1918-2008] Indianapolis Indiana given by bequest to the Indianapolis Museum of Art in 2009 (TR10964).
Nymph and Fawn,http://www.imamuseum.org/art/collections/artwork/nymph-and-fawn-konti-isidore,http://www.imamuseum.org/sites/default/files/mercurycache/4_column/mars/25/252488a4-3190-46ac-a1b5-b159e4568392.jpg,"Konti, Isidore",American,1862,1938,bronze,56 1/4 x 24 x 20 in.,Gift of Mr. and Mrs. John J. Weldon,1917,,
Stumbling Man,http://www.imamuseum.org/art/collections/artwork/stumbling-man-david-k-rubins-0,http://www.imamuseum.org/sites/default/files/mercurycache/4_column/mars/31/31e223ba-4632-4af4-9775-cf86652bf32d.jpg,David K. Rubins,American,1902,1985,bronze,38 x 61 x 32 1/2 in.,Gift of the Artist,0,,
"Sundial, Boy with Spider",http://www.imamuseum.org/art/collections/artwork/sundial-boy-spider-william-d-paddock,http://www.imamuseum.org/sites/default/files/mercurycache/4_column/mars/ab/abc0eb0b-2152-4f64-b7b7-535949938333.jpg,Willard D. Paddock,American,1873,1956,copper alloy (bronze),30 x 30 in.,Gift of Mr. Nicholas Noyes,1916,,
Sunlit Window,http://www.imamuseum.org/art/collections/artwork/sunlit-window-ritman-louis,http://www.imamuseum.org/sites/default/files/mercurycache/4_column/mars/c2/c2a71315-aadd-449a-84b8-069d00a7d62f.jpg,"Ritman, Louis",American,1889,1963,oil and tempera on canvas,47 x 39 3/4 in.,Gift of the Louis Ritman Estate,1918,"Ritman's interest in decorative patterning is evident in the mixture of floral prints with stripes that contrast with the buzzing confusion of nature seen through the open window.
Ritman, a Chicago artist, settled in Giverny, France near the home of Claude Monet, in 1909.",Donated to the museum by the Louis Ritman estate through Maurice Ritman
"Glimpse of the Harbor, Gloucester",http://www.imamuseum.org/art/collections/artwork/glimpse-harbor-gloucester-prendergast-maurice-brazil,http://www.imamuseum.org/sites/default/files/mercurycache/4_column/mars/4d/4dce8bac-1b0d-4620-b8cc-e241a47cb650.jpg,"Prendergast, Maurice Brazil",American,1859,1934,watercolor over pencil on paper,,Gift of the Gamboliers,1916,"In this painting, Prendergast handled watercolor with his characteristic freedom, wielding thin washes in loosely knit strokes and allowing the white paper to become part of the composition. Contemporary critics noted that Prendergast’s loose style fit his leisurely subjects.",
Builders,http://www.imamuseum.org/art/collections/artwork/builders-cecil-f-head,http://www.imamuseum.org/sites/default/files/mercurycache/4_column/mars/31/31b60365-313c-4d55-9eed-66bfb45ed502.jpg,Cecil F. Head,American,1906,0,oil on canvas,,Gift of the Artist,1934,"Cecil Head derived his subject matters from views of downtown Indianapolis.
Builders presents bricklayers and masons constructing an apartment building at Tenth Street and Pennsylvania Avenue.
The complex color harmonies combined with strong contrasts are typical of the artist’s sense of color.",
New Year's Shooter,http://www.imamuseum.org/art/collections/artwork/new-years-shooter-luks-george-benjamin,http://www.imamuseum.org/sites/default/files/mercurycache/4_column/mars/ba/ba6c56b7-f9f1-4025-a7b4-743fad7f2eb0.jpg,"Luks, George Benjamin",American,1866,1933,oil on canvas,,Gift of Mrs. Albert J. Beveridge,1907,"The colorful palette of this painting is in keeping with the gaiety and theatricality of the subject.
New Year's Shooter was painted about the time of the exhibition of The Eight, a group of artists who opposed traditional painting formulas based on careful drawing and modeling.",
Portrait of a Boy,http://www.imamuseum.org/art/collections/artwork/portrait-boy-bellows-george-wesley,http://www.imamuseum.org/sites/default/files/mercurycache/4_column/mars/97/97ce7203-f22d-40f6-a155-1e79fd6cdfbd.jpg,"Bellows, George Wesley",American,1882,1925,oil on canvas,,Gift of the Friends of American Art,1921,"This canvas depicts Meredith Hare.  His mother asked for a formal portrait.  Bellows complied, but he also painted this more casual likeness.  Mrs. Hare could not decide between the two, so she took neither.
Bellows was a member of the Ashcan School, whose artists preferred unglamorized images.",
First Touch of Autumn,http://www.imamuseum.org/art/collections/artwork/first-touch-autumn-chase-william-merritt,http://www.imamuseum.org/sites/default/files/mercurycache/4_column/mars/c5/c5fd2a95-f8ab-46c8-95cd-22387db6ffca.jpg,William Merritt Chase,American,1849,1916,oil on canvas,,Gift of Peter C. Reilly and Dr. Jeanette P. Reilly,1898,"The artist captures the low and rolling, flat terrain of the Shinnecock countryside, with its occasional tree, sand dunes, and dwarfed bushes.
Chase established America's first summer school of art at Shinnecock Hills, Long Island, where he painted some of his most Impressionist landscapes.",Macbeth Galleries in New York Peter Reilly of Indianapolis Peter C. Reilly (son) and Dr. Jeanette P. Reilly of Indianapolis
New Mexico Calvary (Holy Week Procession),http://www.imamuseum.org/art/collections/artwork/new-mexico-calvary-holy-week-procession-higgins-victor,http://www.imamuseum.org/sites/default/files/mercurycache/4_column/mars/63/634771d0-0f46-4df8-bb31-f0d5ff6eb997.jpg,"Higgins, Victor",American,1884,1949,oil on canvas,34 1/4 x 36 in.,Purchased from the Sarah Bella Chambers Calvert Fund as a gift in memory of Mrs. Calvert.,1922,"During Holy Week thousands of pilgrims travel to the sacred ground of Chimayo, a historic sanctuary known as a healing place in the mountains of northern New Mexico.
Here the Sangre de Cristo Mountains envelop the pilgrims on their Holy Week journey.",
Portrait of Mrs. Robert Reid,http://www.imamuseum.org/art/collections/artwork/portrait-mrs-robert-reid-reid-robert,http://www.imamuseum.org/sites/default/files/mercurycache/4_column/mars/32/3295cc8f-b0ad-41c2-8113-24d61c5264ad.jpg,"Reid, Robert",American,1862,1929,oil on canvas,,"Gift of Mr. and Mrs. John G. Rauch, Sr.",0,"Feathered, interwoven brushstrokes in a vibrant palette of rich pastels swathe both figure and landscape, thus unifying the composition.
During the late 1880s Reid followed his Boston classmates Frank Benson and Edmund Tarbell to Paris for study at the Académie Julian. While Benson and Tarbell began exploring Impressionist ideas in France, Reid only fell under the style’s influence after returning to the US in 1889.
Best known for murals painted in a decorative style, Reid displayed an Impressionist point of view in easel paintings like this portrait of his wife. He also created stained-glass windows, another indication of his attraction to the effects of sunlight.",
Brook in Summer,http://www.imamuseum.org/art/collections/artwork/brook-summer-cox-jacob,http://www.imamuseum.org/sites/default/files/mercurycache/4_column/mars/e4/e4049103-1b38-4d22-acef-26ca5988e455.jpg,"Cox, Jacob",American,1810,1892,oil on canvas,,Gift of Mrs. John R. Wilson,1850,"This elaborate pastoral landscape with its background mountains shows the artist's skill at depicting a variety of foliage touched by autumn colors and bright sunlight.
Brook in Summer is probably a composite of sketches of the Indianapolis countryside and views invented by Cox.",
Calypso,http://www.imamuseum.org/art/collections/artwork/calypso-hitchcock-george,http://www.imamuseum.org/sites/default/files/mercurycache/4_column/mars/a3/a3802584-68b8-4f21-9cad-97125f9a21ab.jpg,"Hitchcock, George",American,1850,1913,oil on canvas,,"Purchased with funds from Mrs. John M. Judah, Newton Booth Tarkington, Clarence Wulsin, Stoughton Fletcher, an anonymous donor, and the John Herron Fund",1906,"The elusive qualities of sunshine and breezes are captured in Calypso’s flowing classical garb, the billowy clouds and brilliantly colored flowers.
In Greek mythology Calypso was the sea nymph who saved Odysseus from a shipwreck.
Hitchcock worked in Holland and became one of America’s leading expatriate painters.",
Portrait of Charles H. Brewer (Boy Fishing with Dog),http://www.imamuseum.org/art/collections/artwork/portrait-charles-h-brewer-boy-fishing-dog-cox-jacob,http://www.imamuseum.org/sites/default/files/mercurycache/4_column/mars/a5/a5c32976-937a-4987-971f-474e4cf8c417.jpg,"Cox, Jacob",American,1810,1892,oil on canvas,,Gift of the Family of Charles H. Brewer and Bessie E. Brewer,1868,"Jacob Cox was trained as a tinsmith, a trade that he followed for a time even after he began painting in the early 1840s.
Cox received many portrait commissions but found more personal enjoyment in painting landscapes.
The carefully depicted pet and the image of leisure activity combine to create an engaging impression of the boy’s personality and interests.",
Alaska,http://www.imamuseum.org/art/collections/artwork/alaska-bierstadt-albert,http://www.imamuseum.org/sites/default/files/mercurycache/4_column/mars/74/7496feb1-fa91-4f2f-a162-31569079a031.jpg,"Bierstadt, Albert",American,1830,1902,oil on canvas,,Gift of Mrs. Addison Bybee,1889,"Bierstadt's subject is the vast scale and awe-inspiring effect of fog-shrouded mountains and wilderness.  Though it is entitled Alaska, the actual site may be in British Columbia or Washington.
Bierstadt searched America's wildest regions for his romantic vistas.",
His Majesty Receives,http://www.imamuseum.org/art/collections/artwork/his-majesty-receives-beard-william-holbrook,http://www.imamuseum.org/sites/default/files/mercurycache/4_column/mars/9d/9d178b75-53ca-4d65-9caa-55c7119ce364.jpg,"Beard, William Holbrook",American,1824,1900,oil on canvas,,James E. Roberts Fund,1885,,
Lake Shawangunk,http://www.imamuseum.org/art/collections/artwork/lake-shawangunk-whittredge-worthington,http://www.imamuseum.org/sites/default/files/mercurycache/4_column/mars/8b/8b78f16d-1fcb-42af-947a-4a8aec99b169.jpg,"Whittredge, Worthington",American,1820,1910,oil on canvas,,Gift of the Newhouse Galleries,1863,"This panoramic view captures the atmosphere and luminous colors of the Catskills in autumn.
The light-filled sky reflected in the water may be a metaphor for spiritual and physical harmony.
A tiny image of a boat in the center of the lake leaves a trail of ripples in the water.",Piece was a gift of the Newhouse Galleries in 1944
Pleasant Run,http://www.imamuseum.org/art/collections/artwork/pleasant-run-tc-steele,http://www.imamuseum.org/sites/default/files/mercurycache/4_column/mars/32/32ec6410-37eb-4250-b568-4e0c328e2bd8.jpg,T.C. Steele,American,1847,1926,oil on canvas,,Gift of Carl B. Shafer,1885,"The dark tonalities, backlighting, and even the composition relate to Steele's Bavarian scenes.
In 1885, Pleasant Run defined the eastern and southern limits of Indianapolis.
Painted a few months after Steele returned from Germany, this work is a masterpiece of his Munich manner.",
Portrait of James Whitcomb Riley,http://www.imamuseum.org/art/collections/artwork/portrait-james-whitcomb-riley-sargent-john-singer,http://www.imamuseum.org/sites/default/files/mercurycache/4_column/mars/36/36068d92-8f11-4c9d-87b7-600bde9c6ebb.jpg,John Singer Sargent,American,1856,1925,oil on canvas,36 x 30 1/2 in.,Painted on commission from the Art Association of Indianapolis,1903,"Riley is posed in a contemplative manner holding a book to suggest his profession as a writer.
In 1898 Riley delivered a poetry reading to benefit the Art Association of Indianapolis, the forerunner of the Indianapolis Museum of Art.",
The Harbor Light,http://www.imamuseum.org/art/collections/artwork/harbor-light-harrison-birge,http://www.imamuseum.org/sites/default/files/mercurycache/4_column/mars/3c/3c8fdc6d-f4f3-4977-9035-e4e79151946d.jpg,"Harrison, Birge",American,1854,1929,oil on canvas,,Julius F. Pratt Fund,1900,"Harrison is identified with an American style called Tonalism.
In Tonalist paintings a single hue dominates the composition, which evokes the nuances of light and atmosphere.
The softened details and unpeopled terrain exhibit Tonalism’s quiet, meditative state.",
The Pianist (Stanley Addicks),http://www.imamuseum.org/art/collections/artwork/pianist-stanley-addicks-eakins-thomas,http://www.imamuseum.org/sites/default/files/mercurycache/4_column/mars/5d/5d2949a8-c50f-4b17-8a8a-d362209beb83.jpg,"Eakins, Thomas",American,1844,1916,oil on canvas,,James E. Roberts Fund,1896,"Addicks appears rapt in thought or perhaps preoccupied by an absorbing melody.
Pianist Stanley Addicks belonged to the circle of friends who provided most of Eakins’ subjects.
Eakins is known for his realism and sensitivity to the psychological aspects of portraiture.",
An August Sunset - Prairie Dell,http://www.imamuseum.org/art/collections/artwork/august-sunset-prairie-dell-adams-john-ottis,http://www.imamuseum.org/sites/default/files/mercurycache/4_column/mars/53/531a75fb-6768-40b1-8836-2b3cda793b81.jpg,"Adams, John Ottis",American,1851,1927,oil on canvas,,"Gift of Robert Brady Adams, John A. Adams, and Edward W. Adams",1894,"Here the sun sets over the rich, green, prairie landscape.  A bright orange orb suggests the end of a hot summer day.
This painting is characteristic of the flatness and horizontality of the landscape.
Prairie Dell is an area in Prairie Township, not far from Adams's home in Muncie, Indiana.",Owned by Winifred Brady Adams (wife of the artist) given to the museum by sons of the artist
Old Market Woman,http://www.imamuseum.org/art/collections/artwork/old-market-woman-forsyth-william-j,http://www.imamuseum.org/sites/default/files/mercurycache/4_column/mars/9c/9cd64336-2c2d-45a3-863b-f186af5945b3.jpg,"Forsyth, William J.",American,1854,1935,oil on canvas,,Gift of the Friends of American Art,1885,"Forsyth focuses on the timeworn quality of the woman's hands and facial features.
This canvas exemplifies the Munich Schools' dark tonality and bravura brushwork.
In 1882 William Forsyth traveled to Munich to study at the Royal Academy.",Purchased from the artist by Friends of American Art and donated to the museum.
Landscape near Dachau,http://www.imamuseum.org/art/collections/artwork/landscape-near-dachau-currier-joseph-frank,http://www.imamuseum.org/sites/default/files/mercurycache/4_column/mars/ee/eef7d324-7a52-4651-8a50-47fbb58f928f.jpg,"Currier, Joseph Frank",American,1843,1909,oil on canvas,18 3/4 x 37 1/2 in.,Miscellaneous Painting Fund,1880,"The subdued tones typical of the Munich School are applied with a freedom of execution unusual for the period.
This broad landscape exemplifies Currier’s bold, emotional response to the powers of nature.
Currier studied in Munich and sometimes painted the dark moors of nearby Dachau.",
Frog Fountain,http://www.imamuseum.org/art/collections/artwork/frog-fountain-scudder-janet,http://www.imamuseum.org/sites/default/files/mercurycache/4_column/mars/f4/f4a561d1-8944-48b3-84e8-59db0b687455.jpg,"Scudder, Janet",American,1873,1940,bronze,29 1/4 x 20 1/4 x 14 in.,Gift of the Woman's Department Club,1901,"This nude figure of a child surrounded by a base of frogs was inspired by children Scudder observed in Italy.
Scudder was one of the premier artists of garden sculpture of her era.
Frog Fountain is Scudder's best-known work.",...purchased (from the artiist?) by the Women's Department Club in 1928.  It was donated to the IMA by the club in 1984
Crocuses,http://www.imamuseum.org/art/collections/artwork/crocuses-forsyth-william-j,http://www.imamuseum.org/sites/default/files/mercurycache/4_column/mars/07/07837ae0-844f-4ee5-861d-ae24e7e6cc36.jpg,"Forsyth, William J.",American,1854,1935,oil on canvas,18 x 24 in.,Bequest of Allen Whitehill Clowes,0,"This still life is painted with Forsyth's deft brushwork and dramatic flair for color.
Forsyth was a member of Indiana's impressionist painters known as the Hoosier Group.
The artist was the primary instructor at the Herron Art School in Indianapolis for almost 30 years.",
Portrait of Edith Whitehill Clowes,http://www.imamuseum.org/art/collections/artwork/portrait-edith-whitehill-clowes-pezzati-pietro,http://www.imamuseum.org/sites/default/files/mercurycache/4_column/mars/c7/c75751d8-51cd-4f4d-846d-01b12b32bf2a.jpg,"Pezzati, Pietro",American,1902,1993,oil on canvas,55 1/4 x 42 1/2 in. (framed),Courtesy of The Clowes Fund,0,,
Landscape,http://www.imamuseum.org/art/collections/artwork/landscape-hart-william-m,http://www.imamuseum.org/sites/default/files/mercurycache/4_column/mars/8d/8da0ae50-bfbb-42ff-90d5-8cbff54eb4b1.jpg,"Hart, William M.",American,1823,1894,oil on canvas,10 x 14 in.,Bequest of Delavan Smith,0,,
Portrait Medallion (Louise Hartshorne Moore),http://www.imamuseum.org/art/collections/artwork/portrait-medallion-louise-hartshorne-moore-scudder-janet,http://www.imamuseum.org/sites/default/files/mercurycache/4_column/mars/9a/9af6f260-b989-4b9c-bf75-e1e2a90b0285.jpg,"Scudder, Janet",American,1873,1940,silver,H: 4 1/2 in. W: 3 in.,Gift of the Artist,1901,,
Wyoming Desert,http://www.imamuseum.org/art/collections/artwork/wyoming-desert-riess-wilhelm-j,http://www.imamuseum.org/sites/default/files/mercurycache/4_column/mars/a8/a8ecfc39-f6a6-49a8-bdad-7a6ad8e89e44.jpg,"Riess, Wilhelm J.",American,1856,1919,oil on canvas,36 x 47 in.,Gift of the Lyra Casino Club,1908,,
Portrait of Jules Bastien-Lepage,http://www.imamuseum.org/art/collections/artwork/portrait-jules-bastien-lepage-saint-gaudens-augustus,http://www.imamuseum.org/sites/default/files/mercurycache/4_column/mars/7e/7e981619-764b-4320-af02-7d1e0fcd1692.jpg,"Saint-Gaudens, Augustus",American,1848,1907,Bronze Relief,14 1/2 x 10 1/2 in.,Gift of Mrs. Saint-Gaudens,1880,,
On the Balcony,http://www.imamuseum.org/art/collections/artwork/balcony-rush-olive,http://www.imamuseum.org/sites/default/files/mercurycache/4_column/mars/7e/7ec1e932-637b-4209-932d-03319ae5acb8.jpg,"Rush, Olive",American,1873,1966,oil on canvas,32 1/4 x 26 in.,John Herron Fund,0,,
Fruit Still Life,http://www.imamuseum.org/art/collections/artwork/fruit-still-life-cox-jacob,http://www.imamuseum.org/sites/default/files/mercurycache/4_column/mars/f6/f60bf99d-f852-43a5-b6c0-47b7d231dfe0.jpg,"Cox, Jacob",American,1810,1892,oil on canvas,31 x 40 in.,Gift of Mrs. George Hume,0,,
Portrait of Evans Woolen,http://www.imamuseum.org/art/collections/artwork/portrait-evans-woolen-david-k-rubins,http://www.imamuseum.org/sites/default/files/mercurycache/4_column/mars/f9/f9c218f3-8f61-4e80-bc74-084f420af6ed.jpg,David K. Rubins,American,1902,1985,,55 in.,James V. Sweetser Fund,1944,,
Portrait of William Forsyth,http://www.imamuseum.org/art/collections/artwork/portrait-william-forsyth-forrest-f-stark,http://www.imamuseum.org/sites/default/files/mercurycache/4_column/mars/1c/1c1780cc-cf13-41dd-aa50-fc47b3fa223e.jpg,Forrest F. Stark,American,1903,0,,H: 13 in.,James V. Sweetser Fund,0,,
Reclining Nude,http://www.imamuseum.org/art/collections/artwork/reclining-nude-duveneck-frank,http://www.imamuseum.org/sites/default/files/mercurycache/4_column/mars/e3/e3f32084-493f-43a1-8688-0bbb0c715e78.jpg,"Duveneck, Frank",American,1848,1919,oil on canvas,27 x 54 in.,Gift of Josephine W. Duveneck,1892,,
"Bust of Horace A. Shonle, Jr.",http://www.imamuseum.org/art/collections/artwork/bust-horace-shonle-jr-elmer-h-daniels,http://www.imamuseum.org/sites/default/files/mercurycache/4_column/mars/39/399f5211-c677-419a-8a71-ff9c2e5f6ea6.jpg,Elmer H. Daniels,American,1905,1986,plaster,H: 11 1/4 in. (base 4 1/4),Gift of Mrs. Horace A. Shonle,0,,
Plaster Cast of Bronze Bust of Evans Woolen,http://www.imamuseum.org/art/collections/artwork/plaster-cast-bronze-bust-evans-woolen-david-k-rubins,http://www.imamuseum.org/sites/default/files/mercurycache/4_column/mars/2d/2d00db8d-10dd-479a-8d62-50e786cea5e8.jpg,David K. Rubins,American,1902,1985,plaster,20 x 12 in.,Gift of Mr. David K. Rubins,0,,
Scene in Switzerland,http://www.imamuseum.org/art/collections/artwork/scene-switzerland-james-f-gookins,http://www.imamuseum.org/sites/default/files/mercurycache/4_column/mars/51/5175bc44-0919-4e86-b06d-484a1ea91d7b.jpg,James F. Gookins,American,1840,1904,oil on canvas,,"Estate of Magaret Ann Taylor, Indianapolis, Indiana",1888,,
Rocky Mountain Scene,http://www.imamuseum.org/art/collections/artwork/rocky-mountain-scene-wheeler-clifton,http://www.imamuseum.org/sites/default/files/mercurycache/4_column/mars/b4/b4617d7f-df91-4729-b0b6-19b9af86809e.jpg,"Wheeler, Clifton A.",American,1883,1953,oil on canvas,36 x 28 in.,Gift of the Sons of J. Ottis Adams,0,,
"Toledo Spain, Afternoon Sun",http://www.imamuseum.org/art/collections/artwork/toledo-spain-afternoon-sun-brewster-anna-richards,http://www.imamuseum.org/sites/default/files/mercurycache/4_column/mars/a0/a07f4700-0407-454a-8427-de664129f662.jpg,"Brewster, Anna Richards",American,1870,1952,oil on canvas mounted to layered board,6 1/4 x 8 1/2 in.,Gift of Neil D. Skinner,1911,,
Running for Anchorage,http://www.imamuseum.org/art/collections/artwork/running-anchorage-chase-henry,http://www.imamuseum.org/sites/default/files/mercurycache/4_column/mars/48/482aaa0a-a13b-4f16-9af8-2add7976efd7.jpg,"Chase, Henry",American,1853,1889,oil on canvas,30 x 25 in.,Purchased by subscription,0,,
Hill and Hollow,http://www.imamuseum.org/art/collections/artwork/hill-and-hollow-lewis-h-meakin,http://www.imamuseum.org/sites/default/files/mercurycache/4_column/mars/86/863ece6a-316a-48ed-8e6f-39c3a7cdc364.jpg,Lewis H. Meakin,American,1850,1917,oil on canvas,34 x 44 in.,John Herron Fund,1896,,
Riverboat,http://www.imamuseum.org/art/collections/artwork/riverboat-donald-mattison,http://www.imamuseum.org/sites/default/files/mercurycache/4_column/mars/53/53d81839-57af-4644-bef0-ba8b142c769d.jpg,Donald Mattison,American,1905,1975,oil on canvas,24 x 29 in.,Daniel P. Erwin Fund,1945,,
Portrait of Caroline Marmon Fesler,http://www.imamuseum.org/art/collections/artwork/portrait-caroline-marmon-fesler-david-k-rubins,http://www.imamuseum.org/sites/default/files/mercurycache/4_column/mars/f5/f5a45c56-6890-4b97-8089-71141e91fe77.jpg,David K. Rubins,American,1902,1985,bronze relief,14 1/4 x 10 3/8 in.,Museum Accession,1968,,
Study Head (Old Man),http://www.imamuseum.org/art/collections/artwork/study-head-old-man-richards-samuel-g,http://www.imamuseum.org/sites/default/files/mercurycache/4_column/mars/35/35f3448d-4540-48ba-959c-669576389359.jpg,"Richards, Samuel G.",American,1853,1893,oil on canvas,,Gift of Mrs. Samuel Richards,1883,,
Old Peasant Woman,http://www.imamuseum.org/art/collections/artwork/old-peasant-woman-richards-samuel-g,http://www.imamuseum.org/sites/default/files/mercurycache/4_column/mars/1b/1b3136e5-2241-42e5-b466-aa579174a805.jpg,"Richards, Samuel G.",American,1853,1893,oil on canvas,,Gift of Mrs. Samuel Richards,1885,,
Study Head (Bearded Man),http://www.imamuseum.org/art/collections/artwork/study-head-bearded-man-richards-samuel-g,http://www.imamuseum.org/sites/default/files/mercurycache/4_column/mars/13/133eb1b7-fdfb-4524-9b7f-675a1971f894.jpg,"Richards, Samuel G.",American,1853,1893,oil on canvas,,Gift of Mrs. Samuel Richards,1883,,
"Chief Flat Iron, Sioux",http://www.imamuseum.org/art/collections/artwork/chief-flat-iron-sioux-sharp-joseph-henry,http://www.imamuseum.org/sites/default/files/mercurycache/4_column/mars/ba/ba1b3220-e0db-4e0c-b29b-82f491e7b1f7.jpg,"Sharp, Joseph Henry",American,1859,1953,oil on canvas,,John Herron Fund,0,,
On The Brandywine,http://www.imamuseum.org/art/collections/artwork/brandywine-laer-alexander-theobald-van,http://www.imamuseum.org/sites/default/files/mercurycache/4_column/mars/b3/b3fb8298-7199-4963-9078-ef16f473b4dc.jpg,"Laer, Alexander Theobald van",American,1857,1920,oil on canvas,,Gift of Miss Louise Bybee,0,,
Street Scene,http://www.imamuseum.org/art/collections/artwork/street-scene-ullman-eugene-paul,http://www.imamuseum.org/sites/default/files/mercurycache/4_column/mars/48/48333144-ce05-4077-a1e6-bba60232899a.jpg,"Ullman, Eugene Paul",American,1877,1953,oil on panel,,Gift of Mrs. William A. Words,0,,
Munich Girl,http://www.imamuseum.org/art/collections/artwork/munich-girl-tc-steele,http://www.imamuseum.org/sites/default/files/mercurycache/4_column/mars/aa/aa79688e-79a8-4496-a480-3d14efd81c6c.jpg,T.C. Steele,American,1847,1926,oil on canvas,,Gift of Mr. and Mrs. Alpheus Snow in memory of Mr. and Mrs. John M. Butler,1884,,
Scene on the Wabash (near Pipe Creek),http://www.imamuseum.org/art/collections/artwork/scene-wabash-near-pipe-creek-winter-george,http://www.imamuseum.org/sites/default/files/mercurycache/4_column/mars/99/9915d50b-09c9-4009-b440-cc16daf518a6.jpg,"Winter, George",American,1810,1876,oil on canvas,,Gift of Harvey Elam,1840,"Here, a group of Potawatomi Indians gather next to the Wabash River.  The figures are posed in a casual setting, reflecting Winter's goal to record the daily life and customs of these people.
Winter was born in England and came to America in 1830 to study in New York.  In 1837 he moved to Logansport, Indiana.",Collection of Judge Biddle Logansport and John B. Elam Indianapolis Indiana Mr. Harvey Elam given to the Indianapolis Museum of Art in 1920.
Monarch Beech,http://www.imamuseum.org/art/collections/artwork/monarch-beech-bundy-john-elwood,http://www.imamuseum.org/sites/default/files/mercurycache/4_column/mars/bb/bbac6d3a-de19-491f-a5f2-4365a69efd48.jpg,"Bundy, John Elwood",American,1853,1933,oil on canvas,,Gift of the Benjamin Harrison School,0,,
Apache,http://www.imamuseum.org/art/collections/artwork/apache-phillips-bert-greer,http://www.imamuseum.org/sites/default/files/mercurycache/4_column/mars/5f/5f67432b-de79-405b-b542-02e0ae2d1a58.jpg,"Phillips, Bert Greer",American,1868,1956,oil on canvas,,Bequest of Delavan Smith,0,,
Study of a Hat,http://www.imamuseum.org/art/collections/artwork/study-hat-ketcham-susan-merrill,http://www.imamuseum.org/sites/default/files/mercurycache/4_column/mars/64/64113803-39e6-4c3e-9f91-5387d6c8da44.jpg,"Ketcham, Susan Merrill",American,1841,1930,oil on canvas,,Gift to the Art School by Susan M. Ketcham,1889,,
Family Picnic,http://www.imamuseum.org/art/collections/artwork/family-picnic-grabach-john-r,http://www.imamuseum.org/sites/default/files/mercurycache/4_column/mars/4d/4d7f323d-1d08-47d4-b2a0-c07af18cf6aa.jpg,"Grabach, John R.",American,1886,1981,oil on canvas,,Delavan Smith Fund,1927,,
San Gimignano,http://www.imamuseum.org/art/collections/artwork/san-gimignano-lucioni-luigi,http://www.imamuseum.org/sites/default/files/mercurycache/4_column/mars/61/61440b19-9216-41d2-8136-4a1f8905b023.jpg,"Lucioni, Luigi",American,1900,0,oil on wood panel,,Gift of the Gamboliers,1929,,
Portrait of Edward Loftus,http://www.imamuseum.org/art/collections/artwork/portrait-edward-loftus-stuart-gilbert,http://www.imamuseum.org/sites/default/files/mercurycache/4_column/mars/9e/9eadbc97-51be-4765-9a91-d65b52edab8d.jpg,"Stuart, Gilbert",American,1755,1828,oil on canvas,,Gift of the Friends of American Art,1790,,
Portrait of Booth Tarkington,http://www.imamuseum.org/art/collections/artwork/portrait-booth-tarkington-betts-louis,http://www.imamuseum.org/sites/default/files/mercurycache/4_column/mars/e2/e26e4ee6-e49a-4e2a-8578-8e0b7e382037.jpg,"Betts, Louis",American,1873,1961,oil on canvas,,Gift of the Artist,1941,,
In the Meadow,http://www.imamuseum.org/art/collections/artwork/meadow-inness-george,http://www.imamuseum.org/sites/default/files/mercurycache/4_column/mars/c6/c6d72055-3077-408e-a12b-79cff805b8e8.jpg,"Inness, George",American,1825,1894,oil on canvas,,Gift of Mrs. Charles C. Kryter in memory of Mr. Kryter,0,,
Mixed Bouquet,http://www.imamuseum.org/art/collections/artwork/mixed-bouquet-pittman-hobson,http://www.imamuseum.org/sites/default/files/mercurycache/4_column/mars/8a/8a5028af-dc44-48cd-ae36-cbf783117f5d.jpg,"Pittman, Hobson",American,1899,0,oil on canvas,,James V. Sweetser Fund,0,,
Portrait of William Henry Harrison,http://www.imamuseum.org/art/collections/artwork/portrait-william-henry-harrison-morse-samuel-finley-breese,http://www.imamuseum.org/sites/default/files/mercurycache/4_column/mars/e0/e004547b-3322-45d6-aa61-0d02825c6c2e.jpg,"Morse, Samuel Finley Breese",American,1791,1872,oil on canvas,,James E. Roberts Fund,0,,
